business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Döşeme, Cumhuriyet Cd. No:66, 01130 Seyhan/Adana, Türkiye","{'location': {'lat': 36.9952665, 'lng': 35.3147364}, 'viewport': {'northeast': {'lat': 36.99682427989272, 'lng': 35.31589742989272}, 'southwest': {'lat': 36.99412462010728, 'lng': 35.31319777010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Acibadem Adana Hospital,{'open_now': True},"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105278671516643454460"">cemil serezli</a>'], 'photo_reference': 'AfLeUgPdxMSthavnRv5CHAYwJuxGgisIiF3y-MJXu22Bwp89etUGkCCN-bp6xkFqU7Ef4SLnONPXk3alWB0gcEPTaPmuzi3ZAZO6OoJCspvZZGbp6yEZXJl2GYOeOz58QxZPyNo6kfusiIjhwoFW34uBaxyIy-X77K66ygq0spgTGFFCaKnF', 'width': 4624}]",ChIJB-UXaUKPKBURvw-UhE7wjuQ,"{'compound_code': 'X8W7+4V Seyhan, Adana', 'global_code': '8G8QX8W7+4V'}",3.7,ChIJB-UXaUKPKBURvw-UhE7wjuQ,"['hospital', 'point_of_interest', 'health', 'establishment']",260
OPERATIONAL,"Ziyapaşa, 67055. Sk. No:1, 01140 Seyhan/Adana, Türkiye","{'location': {'lat': 37.0140106, 'lng': 35.3256136}, 'viewport': {'northeast': {'lat': 37.01551642989271, 'lng': 35.32694812989272}, 'southwest': {'lat': 37.01281677010727, 'lng': 35.32424847010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Private Adana Hospital Middle East,{'open_now': True},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100562718059335420266"">ahmet can erkiş</a>'], 'photo_reference': 'AfLeUgP6yuGy-tjb5Wcpr-22MR1gloYC1arCMNiz7wsIyHSTW-jNJtJiuzcaG8RqiKjt7ynl4LejJUXv_ZRytQinGnKUknvQez1TZQ1BuTAvYsWo4YSNTupGiUFIvqXkXDWhdTMAIOENQFfMjZHB9_wu40RGUgju7_PcDbFtlLv4urwJlatM', 'width': 9000}]",ChIJEShbgxiPKBURTXTaPULRlU0,"{'compound_code': '287G+J6 Seyhan, Adana', 'global_code': '8G9Q287G+J6'}",3.5,ChIJEShbgxiPKBURTXTaPULRlU0,"['hospital', 'point_of_interest', 'health', 'establishment']",359
OPERATIONAL,"Toros, Şehitler Blv No No:43, 01170 Çukurova/Adana, Türkiye","{'location': {'lat': 37.0355373, 'lng': 35.3065571}, 'viewport': {'northeast': {'lat': 37.03683077989272, 'lng': 35.30800432989273}, 'southwest': {'lat': 37.03413112010728, 'lng': 35.30530467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,European Hospital,{'open_now': True},"[{'height': 719, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106510699634529977289"">Dılemın Brindare</a>'], 'photo_reference': 'AfLeUgNUWJ5A_vlRRxtn1S_E8vc38zf7UX1ESM26p9T8x29gfO1Q9Sy_3AopPqyoBKMA_uN-jiqHTCMrtn7omgedI2qGm9-CPJmOOUShL_FX3J4iuuTI-5zVWrpIew-tERWTRuiWZhowpF0OKFGBCzVpINOJvBcTWWJHBg3AlFRuIUsubAO1', 'width': 1240}]",ChIJe1XVCtKOKBURqmROFVGENCU,"{'compound_code': '28P4+6J Çukurova, Adana', 'global_code': '8G9Q28P4+6J'}",2.9,ChIJe1XVCtKOKBURqmROFVGENCU,"['hospital', 'point_of_interest', 'health', 'establishment']",152
OPERATIONAL,"Belediye Evleri, Turgut Özal Blv. No:234, 01170 Çukurova/Adana, Türkiye","{'location': {'lat': 37.05326549999999, 'lng': 35.2544362}, 'viewport': {'northeast': {'lat': 37.05431687989272, 'lng': 35.25556035}, 'southwest': {'lat': 37.05161722010727, 'lng': 35.25264495}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Medline Hastanesi,{'open_now': True},"[{'height': 423, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117363142160231849570"">A Google User</a>'], 'photo_reference': 'AfLeUgMd4CAu-ln4z4h5kOv3M9hzXI6j4BrvOT7NYNrohicHYgxL88H8IJvyX6hUKIxmSUOwcvHglnwGR7p2RyD57hG_dixoBxPgTBGneGP7vc1a-u0RI3G1IosJvYCdzAnuXUrcsCmX5-xzPqyX4lcgpsa7jCBAj2FieflV2ogTFtp0eT1G', 'width': 725}]",ChIJBaJvvKiJKBURKKKpzpqIc8A,"{'compound_code': '3733+8Q Çukurova, Adana', 'global_code': '8G9Q3733+8Q'}",3.1,ChIJBaJvvKiJKBURKKKpzpqIc8A,"['hospital', 'point_of_interest', 'health', 'establishment']",431
OPERATIONAL,"Toros, Kasım Ener Cd No:25, 01170 Çukurova/Adana, Türkiye","{'location': {'lat': 37.0361912, 'lng': 35.29721079999999}, 'viewport': {'northeast': {'lat': 37.03745707989273, 'lng': 35.29856772989272}, 'southwest': {'lat': 37.03475742010728, 'lng': 35.29586807010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Special Caesar Hospital,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105550764254306679103"">mustafa pala</a>'], 'photo_reference': 'AfLeUgODPxp7F0PYL1kTXO-fnJkwZfqRbLTlm9gagppPI-7cL7303uElCntUsxt0cA2SI--JYDR32-InZB0AFRJntbbAg9jKfxeZP_LKCqDjrNTIX3MmJZlIQxZpf0SxJa9uZko5oZQnXtiHtrRk4e8f6ogKWhCTSB6CmCCjzzT3T-Iz6AgT', 'width': 1920}]",ChIJ7z36mS6JKBURTxwvnRHhvDc,"{'compound_code': '27PW+FV Çukurova, Adana', 'global_code': '8G9Q27PW+FV'}",3.2,ChIJ7z36mS6JKBURTxwvnRHhvDc,"['hospital', 'point_of_interest', 'health', 'establishment']",342
OPERATIONAL,"Namık Kemal, Mustafa Kemal Paşa Blv. No:15, 01140 Seyhan/Adana, Türkiye","{'location': {'lat': 37.004555, 'lng': 35.315288}, 'viewport': {'northeast': {'lat': 37.00583967989272, 'lng': 35.31667322989271}, 'southwest': {'lat': 37.00314002010728, 'lng': 35.31397357010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Medical Park Seyhan Hastanesi,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113320391061159115521"">A Google User</a>'], 'photo_reference': 'AfLeUgN16y-1ewCSvTQg29Pl4SpPpK54nNT5DARuuv3bQArqWAGKJD0wWPwXElHpZtbhaglg-CDhCxvE9C_7dqeY2-zhK3-tw_RUEw9R0OT83fEJkPN6OWmFJqGFwWWYe23-xyvvIIaK1x78Zm5R1AjolPinWA5jae52C3PnhhtNxhT3UEVX', 'width': 1536}]",ChIJdbqueCCPKBUR50w4PhZR-_w,"{'compound_code': '2838+R4 Seyhan, Adana', 'global_code': '8G9Q2838+R4'}",5.0,ChIJdbqueCCPKBUR50w4PhZR-_w,"['hospital', 'point_of_interest', 'health', 'establishment']",205
OPERATIONAL,"Büyükşehir, Çınarlı Atatürk Caddesi, Belediye Karşısı No:23, 01060 Seyhan/Adana, Türkiye","{'location': {'lat': 36.9943467, 'lng': 35.3241838}, 'viewport': {'northeast': {'lat': 36.99556592989273, 'lng': 35.32554547989272}, 'southwest': {'lat': 36.99286627010729, 'lng': 35.32284582010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Medical Park Adana Hastanesi,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110761796705053894382"">A Google User</a>'], 'photo_reference': 'AfLeUgPJxWSEDJGHzeitwJS_TfZVItupNILX2v6lWi3wZsaOEHIEnIYmeSVSKvRIS9LKfGvec92Has6l0n87UXVZuPI110fms1LZy0S03Y_mip13MmkzqpzHAtnBmAVTPMdjpxhpdKytw8_K2HyPT-Z_3ZfUATshhbVASu7oADePJflFv0j-', 'width': 923}]",ChIJi_TlkQWPKBURkrRm7T7ZOgA,"{'compound_code': 'X8VF+PM Seyhan, Adana', 'global_code': '8G8QX8VF+PM'}",5.0,ChIJi_TlkQWPKBURkrRm7T7ZOgA,"['hospital', 'point_of_interest', 'health', 'establishment']",246
OPERATIONAL,"Kışla Mahallesi, Dr. Mithat Özsan Bulvarı, 4522. Sokak No:1, Yüreğir/Adana, Türkiye","{'location': {'lat': 37.0286379, 'lng': 35.3480916}, 'viewport': {'northeast': {'lat': 37.03035792989272, 'lng': 35.34895594999998}, 'southwest': {'lat': 37.02765827010728, 'lng': 35.34549855}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,SBÜ Adana Şehir Eğitim ve Araştırma Hastanesi,{'open_now': True},"[{'height': 2892, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113572855234441384535"">Martin Šturcel</a>'], 'photo_reference': 'AfLeUgMKDP7hH2HSxGhDoMUb3cLRQrd-FSsSeSwJ9p_qr-nNq2s6oW4xs2vPiuTKVcRCZPSPAS8LsGNhhB-MGYRpHKDePf_rerOrjYOA7V63hDCPM1X-udB4mqRI6VFVHsGAtzk_w8ODe__qzSwXeQR_nptia9CqboPha7zUbu4MohtEcMom', 'width': 3852}]",ChIJ____712PKBUR_LV5Oh2u-wo,"{'compound_code': '28HX+F6 Yüreğir, Adana', 'global_code': '8G9Q28HX+F6'}",3.1,ChIJ____712PKBUR_LV5Oh2u-wo,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",817
OPERATIONAL,"Döşeme, Cumhuriyet Cd. No:64, 01130 Seyhan/Adana, Türkiye","{'location': {'lat': 36.9954083, 'lng': 35.3154716}, 'viewport': {'northeast': {'lat': 36.99659017989272, 'lng': 35.31682212989271}, 'southwest': {'lat': 36.99389052010727, 'lng': 35.31412247010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Special Ortopedia Hospital,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115024576540730323449"">ergun guzel</a>'], 'photo_reference': 'AfLeUgNu9RExXw1yFVEZk-fjxVcMMrMOqRRtMz8LGZP0BRdWk0T4iO30bZpy83AJYVq7Ky2MBiFA9Rew6eWyWWuETHeJGnVlkHgm4azVyq4wNkMQBO_8b7IAe0pNQmik_QRFoS222wHxyl8WUECsIuZuzqr1iGJfp3Lzw6gHkfgODY8tlZ7o', 'width': 1080}]",ChIJRVlMM0WPKBURhk-oQWJ3wt4,"{'compound_code': 'X8W8+55 Seyhan, Adana', 'global_code': '8G8QX8W8+55'}",3.4,ChIJRVlMM0WPKBURhk-oQWJ3wt4,"['hospital', 'point_of_interest', 'health', 'establishment']",157
OPERATIONAL,"Döşeme, Cumhuriyet Cd. No:64, 01130 Seyhan/Adana, Türkiye","{'location': {'lat': 36.9954377, 'lng': 35.3153856}, 'viewport': {'northeast': {'lat': 36.99660477989272, 'lng': 35.31673622989272}, 'southwest': {'lat': 36.99390512010728, 'lng': 35.31403657010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,مشفى اضنا اورتبيديا,,,ChIJgwKHNEWPKBURuYSYH1UAIvc,"{'compound_code': 'X8W8+55 Seyhan, Adana', 'global_code': '8G8QX8W8+55'}",2.0,ChIJgwKHNEWPKBURuYSYH1UAIvc,"['hospital', 'point_of_interest', 'health', 'establishment']",3
