business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Yeni, Gazi Mustafa Kemal Blv. No:669, 33330 Mezitli/Mersin, Türkiye","{'location': {'lat': 36.7528845, 'lng': 34.5363904}, 'viewport': {'northeast': {'lat': 36.75434367989272, 'lng': 34.53762592989272}, 'southwest': {'lat': 36.75164402010728, 'lng': 34.53492627010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,City Hospital,{'open_now': True},"[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102545680139033139331"">City Hospital</a>'], 'photo_reference': 'AfLeUgNoFJILgM9Y3g9kYTUNP8vX5P0aYjiOZcRgM-G1F_Yr72zpSGkV9wJCD2NM7WGPytd1rIcWTkNZs49a3eznRB3AxJuEz43BpBTKv-a2hXV3zR7YJUE5-biWWHqX8fi0Dss-r7rkhO7ekNdrFd4nNuhP5oWQfxhhZWvk3V9mDHo3h-MV', 'width': 3924}]",ChIJn6jJMl-KJxURGFVv3KzqJ8A,"{'compound_code': 'QG3P+5H Mezitli, Mersin', 'global_code': '8G8PQG3P+5H'}",2.7,ChIJn6jJMl-KJxURGFVv3KzqJ8A,"['hospital', 'point_of_interest', 'health', 'establishment']",318
OPERATIONAL,"Turgutreis, İstiklal Cd. No:196, 33010 Akdeniz/Mersin, Türkiye","{'location': {'lat': 36.7943552, 'lng': 34.6157769}, 'viewport': {'northeast': {'lat': 36.79568212989272, 'lng': 34.61731917989272}, 'southwest': {'lat': 36.79298247010727, 'lng': 34.61461952010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Special IMC Hospital,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102417048578626328104"">A Google User</a>'], 'photo_reference': 'AfLeUgMLvj2RpBZja8K-wa-XpJ8cCgFjQ6PzeoTHPwVYLHttg1Qeod0vkBaTo_nRpKl27T22EVne6lvLVm3TbhjdlyYNonIxwnVMilxCp5Io_UQNfOyFJR1riWP7uuIQj-4hPd7ZzixHW146SjK65jscdtP8kbHY1ngS3Jiw9A08xVYBcNo', 'width': 900}]",ChIJT79jhW3zJxUR-b2dHv178bw,"{'compound_code': 'QJV8+P8 Akdeniz, Mersin', 'global_code': '8G8PQJV8+P8'}",3.4,ChIJT79jhW3zJxUR-b2dHv178bw,"['hospital', 'point_of_interest', 'health', 'establishment']",148
OPERATIONAL,"Atatürk, Gazi Mustafa Kemal Blv. No: 676, 33200 Mezitli/Mersin, Türkiye","{'location': {'lat': 36.7591429, 'lng': 34.5445585}, 'viewport': {'northeast': {'lat': 36.76043942989272, 'lng': 34.54595827989272}, 'southwest': {'lat': 36.75773977010728, 'lng': 34.54325862010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,VM Medical Park Mersin Hastanesi,{'open_now': True},"[{'height': 2657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112685794335448321365"">Oben Kirdok</a>'], 'photo_reference': 'AfLeUgPiEAeDxGrD8mYo2e7MCm0tul2hDQkgvhcA0fEb1ShVWfa8ofG9YtrTb6sbgc8l5FGyXEQCeHChnbcghiM-sQ-oxlW_p-aDYSIc4Pmq2-ixCcCnfq_cxJKHZwkIYCESP7VIGd3d_1fay20JAzCKky-eMApk-oe-eQjCqgodVRhH5CI', 'width': 4724}]",ChIJcztpAPuKJxUR5tdfgr_k7GU,"{'compound_code': 'QG5V+MR Mezitli, Mersin', 'global_code': '8G8PQG5V+MR'}",4.1,ChIJcztpAPuKJxUR5tdfgr_k7GU,"['hospital', 'point_of_interest', 'health', 'establishment']",1483
OPERATIONAL,"Çiftlikköy, 32133. Sk., 33110 Yenişehir/Mersin, Türkiye","{'location': {'lat': 36.7852697, 'lng': 34.5385743}, 'viewport': {'northeast': {'lat': 36.78660697989272, 'lng': 34.54000517989272}, 'southwest': {'lat': 36.78390732010728, 'lng': 34.53730552010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,University Hospital,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104041809740480897143"">Onur GÜNGÖR</a>'], 'photo_reference': 'AfLeUgNHA2HvZsyS4vDpAZIQ7Etn3JV7fTcNzX4bJAOPI6WY5BELTF7vW4Na23aeQSnFoSkLDY6SsbVqKUmOqOh8l0m1MpX8oJRpKTVI5tqCvIAELAe0wOSbzL7r73esnyLhVcOFCgcwrRsPRPAL9y22P1HSa-XRosid_KwMr1zxBU_DV15z', 'width': 4032}]",ChIJ64O6Js-KJxUR4oAUdt3YDAs,"{'compound_code': 'QGPQ+4C Yenişehir, Mersin', 'global_code': '8G8PQGPQ+4C'}",3.6,ChIJ64O6Js-KJxUR4oAUdt3YDAs,"['hospital', 'point_of_interest', 'health', 'establishment']",25
OPERATIONAL,"Korukent Mah. 96015 Sok. Mersin Entegre Sağlık Kampüsü, 33240 Toroslar/Mersin, Türkiye","{'location': {'lat': 36.8563591, 'lng': 34.6093885}, 'viewport': {'northeast': {'lat': 36.85767442989272, 'lng': 34.61114732989272}, 'southwest': {'lat': 36.85497477010728, 'lng': 34.60844767010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mersin Şehir Hastanesi,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108486169008184558403"">RaGaB محمد</a>'], 'photo_reference': 'AfLeUgOlvur7wBs1PxZAzD12VV5GmwXCSR1pBgc4EVwgWe7uMY6sk9KG-CJlJfYkfIR7m5LAhyXkBEfbfT7g7nKxJT33_Lp9Njw6Fmj3tVaKdzh8ulA5HD9Hi8kH40vAa3GSLAa9wmqZoEZzuyQdynVtvNdrVmvyCM6ihmi6Ndf0O3YtYGgA', 'width': 5312}]",ChIJu1yZZ0XxJxURkt6PIBu538M,"{'compound_code': 'VJ45+GQ Toroslar, Mersin', 'global_code': '8G8PVJ45+GQ'}",3.8,ChIJu1yZZ0XxJxURkt6PIBu538M,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",782
OPERATIONAL,"Güvenevler, 20. Cad. No:48, 33140 Yenişehir/Mersin, Türkiye","{'location': {'lat': 36.789662, 'lng': 34.587686}, 'viewport': {'northeast': {'lat': 36.79098417989272, 'lng': 34.58890372989272}, 'southwest': {'lat': 36.78828452010728, 'lng': 34.58620407010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Forum Yaşam Mersin,{'open_now': False},"[{'height': 1701, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118372314201130031458"">A Google User</a>'], 'photo_reference': 'AfLeUgN0itotiHDKN3vr62upm3D_2k4SFqO1ymbkAsSNgaBQCYHvFrcolFJT4wR8ok5veJMJVmrYCG7FBKRGo9CivfZpqNQUZQIb7Hn8gm0LupFQ-cC8nD8DgUmeDSxeza58YPj5IDhHt1x9jxGdg2kWRYfZuR85v7kDSyOzT3guqnuXQ1J9', 'width': 1512}]",ChIJu-ZDeb70JxURz3l1zeRaK2M,"{'compound_code': 'QHQQ+V3 Yenişehir, Mersin', 'global_code': '8G8PQHQQ+V3'}",3.0,ChIJu-ZDeb70JxURz3l1zeRaK2M,"['hospital', 'point_of_interest', 'health', 'establishment']",276
OPERATIONAL,"Güvenevler Mah. 20.Cad No:4 Forum Karşısı, 33140 Yenişehir, Türkiye","{'location': {'lat': 36.7830318, 'lng': 34.5919677}, 'viewport': {'northeast': {'lat': 36.78434577989272, 'lng': 34.59327502989272}, 'southwest': {'lat': 36.78164612010728, 'lng': 34.59057537010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Mersin Yenişehir Hastanesi,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105751389593332815375"">Cem Vargun</a>'], 'photo_reference': 'AfLeUgMgKBlhcwm0TPOLktdCwM2VYg2K10pY2inGCCYN08FqBYmzu9fPNMXNvZpUMB3SOxo0ik3uR8F7mfMmh8BdSMluft01QrKFiXKJlPOMig0pzTOkwktnPJRGVd8U1MlzSNRfwf2wJ65i0_T53EJgdhFbH3Poze2MbIit_b0cP9DG83bq', 'width': 3024}]",ChIJHXuEsaj0JxURPL9zRLKHMgc,"{'compound_code': 'QHMR+6Q Yenişehir, Mersin', 'global_code': '8G8PQHMR+6Q'}",3.5,ChIJHXuEsaj0JxURPL9zRLKHMgc,"['hospital', 'point_of_interest', 'health', 'establishment']",373
OPERATIONAL,"İhsaniye, Sait Çiftçi Cd. No:30, 33070 Akdeniz/Mersin, Türkiye","{'location': {'lat': 36.8079153, 'lng': 34.6182573}, 'viewport': {'northeast': {'lat': 36.80934297989272, 'lng': 34.61965622989273}, 'southwest': {'lat': 36.80664332010727, 'lng': 34.61695657010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Mersin Su Hastanesi,{'open_now': True},"[{'height': 3016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113715769039033154246"">A Google User</a>'], 'photo_reference': 'AfLeUgNlCDHenFAJ7aWKWnYh_22a_XJ8VVp_B2T-kTdoQLbKbtf1xH3M979XZrc9CUNKNbp2JF3vgn5PoVU8bzpGIoSzbyPs-Km8-nj9KUsE8f2KrpskmmLXAZklma8BBc_T0oz_pFkPWFQqv6JnxxWwy82EqBvBOO7LNdhHZW7ZozI_a8I', 'width': 5184}]",ChIJ1ddRUp_zJxURn-Ssp-_lBJc,"{'compound_code': 'RJ59+58 Akdeniz, Mersin', 'global_code': '8G8PRJ59+58'}",3.5,ChIJ1ddRUp_zJxURn-Ssp-_lBJc,"['hospital', 'point_of_interest', 'health', 'establishment']",316
OPERATIONAL,"Mesudiye Mahallesi, 33110 Akdeniz/Mersin, Türkiye","{'location': {'lat': 36.785107, 'lng': 34.537444}, 'viewport': {'northeast': {'lat': 36.78641197989272, 'lng': 34.53884917989272}, 'southwest': {'lat': 36.78371232010728, 'lng': 34.53614952010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,قسم الطوارئ في مشفى الجامعة مرسين,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104041809740480897143"">Onur GÜNGÖR</a>'], 'photo_reference': 'AfLeUgMOriEtOk8n-VtvuL3slwAJCrGWTmxy3hipMIzitPuCRkWINPINEZW3ivD_9F13UoQgJygtlbZqyK7VrqaaSUDaKn5Lg9xDeo9wzQl7FjCvd9wA0tPKT5tjWTEsIyjvPmXdYr-5IN_Cb2xs3yJzDMcAugemKhByr1vXndvprggZsWJH', 'width': 4032}]",ChIJW3tgIM-KJxURBXWz1C1XYt0,"{'compound_code': 'QGPP+2X Yenişehir, Mersin', 'global_code': '8G8PQGPP+2X'}",4.5,ChIJW3tgIM-KJxURBXWz1C1XYt0,"['hospital', 'point_of_interest', 'health', 'establishment']",6
OPERATIONAL,"Kültür, Atatürk Cd. No:66, 33010 Akdeniz/Mersin, Türkiye","{'location': {'lat': 36.7906955, 'lng': 34.6221404}, 'viewport': {'northeast': {'lat': 36.79195847989273, 'lng': 34.62362212989272}, 'southwest': {'lat': 36.78925882010729, 'lng': 34.62092247010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mersin System Surgery Center,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117863992850876911970"">A Google User</a>'], 'photo_reference': 'AfLeUgNxA4HbBIRYYVLOz7bQAMwUkUMOQ8IbeJPEvVXNljFeFLRuOB82smDglbOfduW3ep_yzBBq_J9-JcPG-eoHiL5LIxCEP7f3o6ZVR55emVWKH5gcvcr_uZkpIUsGGJbyUA481uC3YQEXmJ7QPswUuWMyvHFc25n_zE-8pAXTGiCVOq_H', 'width': 3468}]",ChIJrZrqVRLzJxURntOcY3IF0KY,"{'compound_code': 'QJRC+7V Akdeniz, Mersin', 'global_code': '8G8PQJRC+7V'}",3.2,ChIJrZrqVRLzJxURntOcY3IF0KY,"['hospital', 'point_of_interest', 'health', 'establishment']",111
