business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Peyas, Fırat Blv. No: 12, 21070 Kayapınar/Diyarbakır, Türkiye","{'location': {'lat': 37.9360001, 'lng': 40.1877787}, 'viewport': {'northeast': {'lat': 37.93726702989272, 'lng': 40.18911382989273}, 'southwest': {'lat': 37.93456737010727, 'lng': 40.18641417010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Memorial Diyarbakır Hastanesi,{'open_now': True},"[{'height': 787, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102323054861727791878"">Ramazan Mafrak</a>'], 'photo_reference': 'AfLeUgODvt9-cJhr4RIXWnW4CunbYF0Bw-kgjd1zf06N8r_jVQVjvJfM1lA1C-al4HdAMv6dEynYKv_kGd-fhT_30ja_-dN5nkcvZjFFyDgXLIhIjoinpi84_kfr787Bdt4k2Bit8ArlcpQX5_JNQPUtWPAYHq4MSL8Qf5SScRA7wPe6tuXu', 'width': 800}]",ChIJj6OXNbcfdUARCGONILJXGms,"{'compound_code': 'W5PQ+C4 Kayapınar, Diyarbakır', 'global_code': '8H92W5PQ+C4'}",4.7,ChIJj6OXNbcfdUARCGONILJXGms,"['hospital', 'health', 'point_of_interest', 'establishment']",2263
OPERATIONAL,"Fırat Mah. Urfa Yolu 3. Km, 507. Sk. No: 150, 21220 Kayapınar/Diyarbakır, Türkiye","{'location': {'lat': 37.9253455, 'lng': 40.16195980000001}, 'viewport': {'northeast': {'lat': 37.92665092989273, 'lng': 40.16332347989272}, 'southwest': {'lat': 37.92395127010728, 'lng': 40.16062382010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Memorial Dicle Hastanesi,{'open_now': True},"[{'height': 534, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118104570096573497222"">Memorial Dicle Hastanesi</a>'], 'photo_reference': 'AfLeUgPHYKBQsuNGLgizpoAIXqHEbPtGsAg0DpsbsYfDNGPEFpzt7yotBt_oYnOI9j69E0eGvPOlEmtrgCSEZIg91Si2uEBPLUElIO6e0HcPUNyxZ5GTIX21JMGlCsu4Bf-plsF3_rQSgexus9bUAcxqrpABw-i1MOrAarXNRxS7C6rqMrrW', 'width': 800}]",ChIJm_2T_QMfdUARIGKzwF2BcLE,"{'compound_code': 'W5G6+4Q Kayapınar, Diyarbakır', 'global_code': '8H92W5G6+4Q'}",4.7,ChIJm_2T_QMfdUARIGKzwF2BcLE,"['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",2248
OPERATIONAL,"Yenişehir, Elazığ Cd. 2/9, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.917208, 'lng': 40.23597789999999}, 'viewport': {'northeast': {'lat': 37.91836592989272, 'lng': 40.23715032989271}, 'southwest': {'lat': 37.91566627010728, 'lng': 40.23445067010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Bower Hospital,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107711648482864685225"">A Google User</a>'], 'photo_reference': 'AfLeUgOiQCkdIKlcf91j6oyCW7X8M9iiFCyeqq4Qnw_bH9QGL5Zq0XKpMFKRq2AYdFIRpL6G8GefHbJqO35JLyX18ewBvS5gCeHIH84YPYbecfr6fk7wC0DDJGwz-TvvRbcFEUvZOcMpk8fvYmWWrqA4-gbvkJS8c6-wRQAg1fp8aNKErEXD', 'width': 3120}]",ChIJwxAaHDwgdUARYVD2RywS_1s,"{'compound_code': 'W68P+V9 Yenişehir, Diyarbakır', 'global_code': '8H92W68P+V9'}",3.3,ChIJwxAaHDwgdUARYVD2RywS_1s,"['hospital', 'health', 'point_of_interest', 'establishment']",143
OPERATIONAL,"Huzurevleri, Huzurevleri Mahallesi 3 Sokak, Seyrantepe Bulv No:18, 21070 Kayapınar/Diyarbakır, Türkiye","{'location': {'lat': 37.936086, 'lng': 40.2039255}, 'viewport': {'northeast': {'lat': 37.93763622989272, 'lng': 40.20523827989273}, 'southwest': {'lat': 37.93493657010728, 'lng': 40.20253862010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Special Genesis Hospital,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112011043983877148382"">Hamza SANSUR</a>'], 'photo_reference': 'AfLeUgN3o52BZjRwhBf6tHQ2C_g4LpcE1XhplGd-nOGvcjFOPqFpMnxY56yZxnnqreG5VwGwEKNORJ2mRQygHZeWd6lukhLqI5cm3ZXzR414D1dkLB9YzEkelfpgOp2_i9XlhUAex1GA0eqXdW6e5dEmVLo7I-0Srt0zmYNQ_BtVTd2AnShT', 'width': 2448}]",ChIJZcoEqcEfdUARwjxPdNZcdSU,"{'compound_code': 'W6P3+CH Kayapınar, Diyarbakır', 'global_code': '8H92W6P3+CH'}",2.8,ChIJZcoEqcEfdUARwjxPdNZcdSU,"['hospital', 'health', 'point_of_interest', 'establishment']",308
OPERATIONAL,"Dicle, Yenişehir Dr. Şeref İnal Öz Cad, 19. Sk. No:23, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9187369, 'lng': 40.2400058}, 'viewport': {'northeast': {'lat': 37.92007652989272, 'lng': 40.2415441}, 'southwest': {'lat': 37.91737687010728, 'lng': 40.23851129999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Saladin Diyarbakir State Hospital,{'open_now': True},"[{'height': 910, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102323054861727791878"">Ramazan Mafrak</a>'], 'photo_reference': 'AfLeUgPmyejmgx2FQW1k1Nj81s0JOUXXRD40QT5BSoVpLTT8nsx5qL0G-NAnbYcgC1VqA9cMfK7II64H0pYyjy2iav75YgCFsgoA0M27yUSY2X4eWApRzfJ-7JyNmbRKrSruhHgvkjQgC75QsMJBzU7aOaetcvVIXfFLSpjyJUfoJy2hRKSw', 'width': 1366}]",ChIJ2wQWBj4gdUARrEc1NKKBmfA,"{'compound_code': 'W69R+F2 Yenişehir, Diyarbakır', 'global_code': '8H92W69R+F2'}",3.0,ChIJ2wQWBj4gdUARrEc1NKKBmfA,"['hospital', 'health', 'point_of_interest', 'establishment']",115
OPERATIONAL,"Hasırlı, Elazığ Cad. Dağ Kapı Meydanı No:2, 21200 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9098707, 'lng': 40.24412359999999}, 'viewport': {'northeast': {'lat': 37.91125107989272, 'lng': 40.24548302989272}, 'southwest': {'lat': 37.90855142010728, 'lng': 40.24278337010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Universal Diyarbakir Hospital,,,ChIJ4SYeyUUgdUARx8jtjLoIekQ,"{'compound_code': 'W65V+WJ Yenişehir, Diyarbakır', 'global_code': '8H92W65V+WJ'}",4.0,ChIJ4SYeyUUgdUARx8jtjLoIekQ,"['hospital', 'health', 'point_of_interest', 'establishment']",6
OPERATIONAL,"Yenişehir, Elazığ Cd. No:1, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9168159, 'lng': 40.2361807}, 'viewport': {'northeast': {'lat': 37.91806372989272, 'lng': 40.23743622989272}, 'southwest': {'lat': 37.91536407010728, 'lng': 40.23473657010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Üniversal Diyarbakır Hastanesi,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115427318608718906098"">SAMER HAMO</a>'], 'photo_reference': 'AfLeUgNEYzRzRf6b1_pQX7D1q533nHPCy_yULq4xUKtAg2M4C_EnWkuoYPvcRDwpoJgOF2AGf-soRuiBe4o1eyFaaPACYctjF_uIsovTrdlCn6zcQF7euaC1R2S5kAie-2jVLFpFMjjb7zuwlh5TMtReRJQAQDvzfUOffEnUzyzlSnFJEBHU', 'width': 1960}]",ChIJyxa4HjwgdUARg6F7YbFpNck,"{'compound_code': 'W68P+PF Yenişehir, Diyarbakır', 'global_code': '8H92W68P+PF'}",3.0,ChIJyxa4HjwgdUARg6F7YbFpNck,"['hospital', 'health', 'point_of_interest', 'establishment']",2
OPERATIONAL,"Yenişehir, Mimar Sinan Cd. 13-9, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9193363, 'lng': 40.2363417}, 'viewport': {'northeast': {'lat': 37.92064602989272, 'lng': 40.23774132989272}, 'southwest': {'lat': 37.91794637010728, 'lng': 40.23504167010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Diyarbakır Çocuk Hastanesi Dağkapı,,,ChIJjwLf2mshdUAR5Q7UVZlpYoM,"{'compound_code': 'W69P+PG Yenişehir, Diyarbakır', 'global_code': '8H92W69P+PG'}",1.0,ChIJjwLf2mshdUAR5Q7UVZlpYoM,"['hospital', 'health', 'point_of_interest', 'establishment']",1
OPERATIONAL,"Mevlana Halit, 363. Sk. No:8, 21080 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9304041, 'lng': 40.2006889}, 'viewport': {'northeast': {'lat': 37.93177102989272, 'lng': 40.20200402989271}, 'southwest': {'lat': 37.92907137010728, 'lng': 40.19930437010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hastane,,,ChIJ63abdZYfdUARWo8yCf1Otq0,"{'compound_code': 'W6J2+57 Bağlar, Diyarbakır', 'global_code': '8H92W6J2+57'}",0.0,ChIJ63abdZYfdUARWo8yCf1Otq0,"['hospital', 'health', 'point_of_interest', 'establishment']",0
OPERATIONAL,"Selahattin Eyyubi, Turgut Özal Blv. No:50, 21080 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.93112259999999, 'lng': 40.20462149999999}, 'viewport': {'northeast': {'lat': 37.93265042989272, 'lng': 40.20606272989272}, 'southwest': {'lat': 37.92995077010728, 'lng': 40.20336307010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Ozel Sultan Hastanesi,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103952627430184358404"">iBRAHİM ÖZDEMİR</a>'], 'photo_reference': 'AfLeUgMuZ-vpKtYVoErt2W81WK-mlOmoHgrjOPs_xyVH9Q8jI_XhcKUIy23wficmETE5v5yxWBUmPx1wwyLgJKssR2hy_GnY1ZCimnO3qp3yzU-HGtYNFUUk7rsC-YaDJ7gALZB5fXWbEnakHAlbq549fP9KbqUMnZQiTpMIDK80uHp8pcny', 'width': 4128}]",ChIJKdm-UJQfdUARNKinZgY_iOU,"{'compound_code': 'W6J3+CR Bağlar, Diyarbakır', 'global_code': '8H92W6J3+CR'}",2.5,ChIJKdm-UJQfdUARNKinZgY_iOU,"['hospital', 'health', 'point_of_interest', 'establishment']",249
