business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Seyrantepe, Abdulkadir Konukoğlu Cd No:1, 27080 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0702028, 'lng': 37.4141641}, 'viewport': {'northeast': {'lat': 37.07152622989272, 'lng': 37.41533977989273}, 'southwest': {'lat': 37.06882657010728, 'lng': 37.41264012010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Liv Hospital Gaziantep,{'open_now': True},"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103952627430184358404"">ibrahim özdemir</a>'], 'photo_reference': 'AfLeUgPx0hWCFJ7VD0dxz9YN4UGJj8FBPtwiK92gno3Qn_gOjelSl8mYIW-4fM380HQev6fIfPtMvusmb245SAUNQ4zfWIa0X7cX-DjFix7fbFKbtldn-FcbnvgRAolNIEhF0ohQg6KTp4WXmLGWU-BHwhpLhnd1EU6nPUGVgx8h6IxgVYZZ', 'width': 3264}]",ChIJEz157OjlMRURhDC34zJnl6w,"{'compound_code': '3CC7+3M Şehitkamil, Gaziantep', 'global_code': '8G9V3CC7+3M'}",4.8,ChIJEz157OjlMRURhDC34zJnl6w,"['hospital', 'health', 'point_of_interest', 'establishment']",1608
OPERATIONAL,"Mücahitler, Gazi Muhtar Paşa Blv. No:56, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0775399, 'lng': 37.367614}, 'viewport': {'northeast': {'lat': 37.07913222989272, 'lng': 37.36883612989272}, 'southwest': {'lat': 37.07643257010728, 'lng': 37.36613647010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,NCR INTERNATIONAL HOSPITAL,{'open_now': True},"[{'height': 2189, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100881863216192925427"">Kadir Yasar</a>'], 'photo_reference': 'AfLeUgN2HhnN8uKA74IdeYkXAcm1X7ISoY2hIJTiq9Bbr8uw21f7WhoUxocR6zbA0CzRZOPRnlaQYDJhpE0yQClsZNCGzVPUL03_JZRtdw-slFpKQH-R3OCVRN-UmxUXdTpyfeNLfty7tH199Rtgt1PxxenQ706h--_P4x1gs_Xan3F7-kKS', 'width': 3283}]",ChIJmR2tgFvhMRURse5mHErRrYY,"{'compound_code': '39H9+22 Şehitkamil, Gaziantep', 'global_code': '8G9V39H9+22'}",2.9,ChIJmR2tgFvhMRURse5mHErRrYY,"['hospital', 'health', 'point_of_interest', 'establishment']",457
OPERATIONAL,"Binevler, Üniversite Blv. No.160, 27070 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0526422, 'lng': 37.3358992}, 'viewport': {'northeast': {'lat': 37.05395482989273, 'lng': 37.33729447989273}, 'southwest': {'lat': 37.05125517010728, 'lng': 37.33459482010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Private Academy Hospital | Gaziantep,{'open_now': True},"[{'height': 4110, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117157003330299427877"">A Google User</a>'], 'photo_reference': 'AfLeUgOStGDxb0stb-BsEwEglZXiBv0eeMiWcj_UwBOHR7StIcroH6xAvKUQYxMKunD0j_nyBL3-f4uE03w0ABpmRO4JCHFZcWZly9l7VreCQvcVEZubo3LSVkhLH0GIsLolLSSYsHD6PXiE7_91G9N-S36S1aeurpUQ3AZitTc6lxDbgxR3', 'width': 5906}]",ChIJEY7wFVTgMRURqRoKlLNSVkQ,"{'compound_code': '383P+39 Şahinbey, Gaziantep', 'global_code': '8G9V383P+39'}",3.1,ChIJEY7wFVTgMRURqRoKlLNSVkQ,"['hospital', 'health', 'point_of_interest', 'establishment']",268
OPERATIONAL,"Mücahitler, Gazi Muhtar Paşa Blv. No:9, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0656329, 'lng': 37.37012310000001}, 'viewport': {'northeast': {'lat': 37.06699357989272, 'lng': 37.37163897989273}, 'southwest': {'lat': 37.06429392010727, 'lng': 37.36893932010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Primer Hospital,,,ChIJqT6WREbhMRURI-LKNIZ_l9A,"{'compound_code': '398C+72 Şehitkamil, Gaziantep', 'global_code': '8G9V398C+72'}",5.0,ChIJqT6WREbhMRURI-LKNIZ_l9A,"['hospital', 'health', 'point_of_interest', 'establishment']",1
OPERATIONAL,"Seyrantepe, 27080 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0701959, 'lng': 37.414161}, 'viewport': {'northeast': {'lat': 37.07157092989272, 'lng': 37.41566937989272}, 'southwest': {'lat': 37.06887127010727, 'lng': 37.41296972010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Hastanesi,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100890578994163073170"">Heiko Rode</a>'], 'photo_reference': 'AfLeUgPIXxjFsXbOSkD1P36LxaT58buwRBoLdD5KFo-K_ffcRp3f9U0zdwfKrGaB7974iGIxztbnK7SM2uFgO9zPi4bMZBMjqSJV8BF6bbbhs09dJWNdLsvZXaSHP0gqZTJmsO6Yt0fndZbZadHNB-FdZX7RhF4pi9zhS6wcXu2LRrB3ki9B', 'width': 3264}]",ChIJVb_i_iflMRURS2XonP8xmKk,"{'compound_code': '3CC7+3M Şehitkamil, Gaziantep', 'global_code': '8G9V3CC7+3M'}",3.0,ChIJVb_i_iflMRURS2XonP8xmKk,"['hospital', 'health', 'point_of_interest', 'establishment']",2
OPERATIONAL,"İncili Pınar, Ali Fuat Cebesoy Blv. No:45, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0724068, 'lng': 37.3680286}, 'viewport': {'northeast': {'lat': 37.07389147989272, 'lng': 37.36940377989272}, 'southwest': {'lat': 37.07119182010727, 'lng': 37.36670412010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Sani Konukoğlu Private Hospital,{'open_now': True},"[{'height': 1654, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116991152654575049804"">A Google User</a>'], 'photo_reference': 'AfLeUgM-9fHWx762U2O6gdfJZzsHsBvH5pgng1i2YtroL3Zo6Mki1kjhxGO_r4IjY243PW-ynDvAuwPe_Y989awgofkQHSZ8PP1sNgvS89wle5UAsSqB3fEIeo_k9tasfHuTk0puOgBx5Bc39Y-u3kDnBRBICLYbog-Ru5UuJa1Z36cAb1VM', 'width': 2524}]",ChIJlzESsEThMRURlcnMBFwlk9w,"{'compound_code': '39C9+X6 Şehitkamil, Gaziantep', 'global_code': '8G9V39C9+X6'}",3.0,ChIJlzESsEThMRURlcnMBFwlk9w,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']",428
OPERATIONAL,"Pirsultan, Çetin Emeç Cd., 27500 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0894097, 'lng': 37.3640089}, 'viewport': {'northeast': {'lat': 37.09071177989272, 'lng': 37.36554247989272}, 'southwest': {'lat': 37.08801212010728, 'lng': 37.36284282010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Şehitkamil State Hospital,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102757777571858106356"">A Google User</a>'], 'photo_reference': 'AfLeUgNlycKtCGAQL-sxkGNbw3L_mD-gweZc_e9aFUj7QwXak3tFcgz6e9RbY7EzpZo3VuIbGiHaVYlRleGQUpAs5MGtu423VHxOcmVn_RE7xNVOqcuEhnlMnuDMleTIAqZlKfnKw-7vgdmwjKqid6IQocK14H1AToYKqGX_oIR3y7viiJOs', 'width': 1920}]",ChIJx_T0HefjMRURsfesGRnn9yM,"{'compound_code': '39Q7+QJ Şehitkamil, Gaziantep', 'global_code': '8G9V39Q7+QJ'}",3.4,ChIJx_T0HefjMRURsfesGRnn9yM,"['hospital', 'health', 'point_of_interest', 'establishment']",287
OPERATIONAL,"Güneykent, 216. Cd. No:74, 27470 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0271518, 'lng': 37.33086249999999}, 'viewport': {'northeast': {'lat': 37.02857377989272, 'lng': 37.33227812989272}, 'southwest': {'lat': 37.02587412010728, 'lng': 37.32957847010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,DEFA LIFE HOSPITAL,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106965242939192473670"">cihanser yurtseven</a>'], 'photo_reference': 'AfLeUgOcImHfG8WQZwkQ5JdTppLKUxGm01YsBnE3rfejav44mEjkSLSI_HJ_yUDJO_LPWNtNHfPso6IChicKFCgeao-cgzGhvpUcwcVWH-m27Hgx7h7yHEvnTc7f2id_DKi-cUC6LaMq-msyPLKaaDeDA3xIDy331Rf4DIhejhu1WbNQti45', 'width': 720}]",ChIJXQeXQHrgMRURgEGFbAKgX3c,"{'compound_code': '28GJ+V8 Şahinbey, Gaziantep', 'global_code': '8G9V28GJ+V8'}",3.0,ChIJXQeXQHrgMRURgEGFbAKgX3c,"['hospital', 'health', 'point_of_interest', 'establishment']",593
OPERATIONAL,"Alleben, Kemal Köker Cd. no 41, 27010 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0632099, 'lng': 37.3682741}, 'viewport': {'northeast': {'lat': 37.06465422989272, 'lng': 37.36959337989272}, 'southwest': {'lat': 37.06195457010727, 'lng': 37.36689372010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Hatem Hastanesi,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114969635528456838943"">ali efe Kara</a>'], 'photo_reference': 'AfLeUgPiB1hgZdjSAk4G5-kxg-gDkjMuYgVVit8OBNJsBBhLXY4t-v029W5MJ7QjGQoo_VoydyUawGGcROOkfXL94-7167ELaewu_Yhsy555VI7VHjMsS9UZ1xNXWFvU0DuD4TOkMXvN2LmPkqleoI8rHepvRMyt7HPd4mUqpEaetb0axATp', 'width': 5312}]",ChIJMSoUoDjhMRURGE5WpSWdDG0,"{'compound_code': '3979+78 Şahinbey, Gaziantep', 'global_code': '8G9V3979+78'}",3.6,ChIJMSoUoDjhMRURGE5WpSWdDG0,"['hospital', 'health', 'point_of_interest', 'establishment']",458
OPERATIONAL,"Atakent, 2015. Cd. No:13, 27580 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0870374, 'lng': 37.4258631}, 'viewport': {'northeast': {'lat': 37.08834752989272, 'lng': 37.42703382989272}, 'southwest': {'lat': 37.08564787010727, 'lng': 37.42433417010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Bossan Hospital,{'open_now': True},"[{'height': 1924, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718950343934562658"">ozay</a>'], 'photo_reference': 'AfLeUgMSTgKvAOBKFVAg-u7vpkmXmz3o7QNCnPYa9OsUf0PNYE3Cb8YM5R6bgfidMSaXafKwd2zAQ_bKeD32WyYNk1kWtVrHABHozkG_waJswmoij_5dwsIwj70lW9NWIP0qf3N4_pZzuHe6jMInEfkM2RE9UvN2U6q9i7dg0yL85T1Lypww', 'width': 2448}]",ChIJZXDUbcvlMRURDiaI_ILKBuM,"{'compound_code': '3CPG+R8 Şehitkamil, Gaziantep', 'global_code': '8G9V3CPG+R8'}",3.8,ChIJZXDUbcvlMRURDiaI_ILKBuM,"['hospital', 'health', 'point_of_interest', 'establishment']",222
