business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Sümerler, Şht. Zeyno Güzelkokar Cd. No : 10, 31160 Defne/Hatay, Türkiye","{'location': {'lat': 36.1833987, 'lng': 36.15231139999999}, 'viewport': {'northeast': {'lat': 36.18485442989272, 'lng': 36.15375112989273}, 'southwest': {'lat': 36.18215477010728, 'lng': 36.15105147010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Private Hatay Hospital,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108242896815472607572"">Cihan Aymaz</a>'], 'photo_reference': 'AfLeUgPlEK-RXo1DH1efSy1Ik2x7WBHeXHHRvXv55OtjF_JvHahWIH4Ar24QrhI_2j3-cAnRrnoot92WTS_ZOfrayyAnmp6NQ4b4CdbERuAp3EV8reehMfUh2UGByqsAmAxcUgGNfV4oiaeY6kIa0VSwyjfnIMvoQOT7T8yvhJ95jNjxU-ye', 'width': 1920}]",ChIJ97hRNM_DJRURsITzGlEXNFU,"{'compound_code': '55M2+9W Defne, Hatay', 'global_code': '8G8R55M2+9W'}",2.7,ChIJ97hRNM_DJRURsITzGlEXNFU,"['hospital', 'health', 'point_of_interest', 'establishment']",61
OPERATIONAL,"Altınçay, Mehmet Kafadar Cd. No:53 D:3100, 31040 Merkez/Hatay, Türkiye","{'location': {'lat': 36.2148937, 'lng': 36.1365902}, 'viewport': {'northeast': {'lat': 36.21629057989271, 'lng': 36.13789267989272}, 'southwest': {'lat': 36.21359092010727, 'lng': 36.13519302010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hatay Eğitim ve Araştırma Hastanesi Ek Hizmet Binası,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106437780936779772409"">Amon RA</a>'], 'photo_reference': 'AfLeUgPGUcIbTD_gys2LFig6ZT65biFhDZFY23Led3_99V8NHpFdGhKzYGG_uRoQDMJJ4ddjRz0n-BpCNYaLbz2xpDvT-piqkG43ls0KMOETCLsrPPDiBIjYX5kXmPKq2rDvFIJ6k8t0-ZEVeF8dq6hGdCV10F1xllAdkuEES1rU7-a06kSJ', 'width': 4128}]",ChIJ7ZvLbVTCJRURHk0NLf6UAxs,"{'compound_code': '647P+XJ Antakya, Hatay', 'global_code': '8G8R647P+XJ'}",3.4,ChIJ7ZvLbVTCJRURHk0NLf6UAxs,"['hospital', 'health', 'point_of_interest', 'establishment']",178
OPERATIONAL,"Cebrail, Tunuslu Cad. No:14, 31030 Antakya/Hatay, Türkiye","{'location': {'lat': 36.20280899999999, 'lng': 36.16029899999999}, 'viewport': {'northeast': {'lat': 36.20415797989272, 'lng': 36.16164867989272}, 'southwest': {'lat': 36.20145832010728, 'lng': 36.15894902010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Akdeniz Hospital,,"[{'height': 3016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118362264790848161092"">Mehmetcan Askar</a>'], 'photo_reference': 'AfLeUgMtVelwKgscXf07nJ8ArFomHTA3ckTnGFSq5_7xNonJyfN2opASUn-rgovF8wg4g4GJ0MBA4dK1eQqdM2s1UD0DKMdxWScENAgyDGVbR-iqt0jDhonPc90F4Niodr6uPSdLClBkCspM9f_Jd4s14qL2tJCJ9mBp-fMNzoHTtNXAfxzB', 'width': 4032}]",ChIJQ4n2oczDJRURISDyylTm6fc,,2.5,ChIJQ4n2oczDJRURISDyylTm6fc,"['hospital', 'health', 'point_of_interest', 'establishment']",17
OPERATIONAL,"Odabaşı, Uğur Mumcu Cd., 31030 Hatay Merkez/Hatay, Türkiye","{'location': {'lat': 36.2320882, 'lng': 36.1641951}, 'viewport': {'northeast': {'lat': 36.23344287989272, 'lng': 36.16545537989272}, 'southwest': {'lat': 36.23074322010728, 'lng': 36.16275572010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,ÖZEL DEFNE HASTANESİ,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108600840620557034160"">ahmet karagündüz</a>'], 'photo_reference': 'AfLeUgM5HgtdBFqbS1WJ3wKhySSiYZ8X24MXGrDmnEwLeFL-tqAnQERQuh5CXm9QOdY5ia4f91G984OspLVo1HppO2VNOwNfdWemhgtVG-WGwT_78t559RY7ntkJmr5Iw1_mQbBcJ1DlNNDZ7ecEmDczVIdZ7-rMdJKmWxD26sA7b96tbmv_', 'width': 4160}]",ChIJtY-01qTDJRURQgEVq6SZnDU,"{'compound_code': '65J7+RM Antakya, Hatay', 'global_code': '8G8R65J7+RM'}",2.5,ChIJtY-01qTDJRURQgEVq6SZnDU,"['hospital', 'health', 'point_of_interest', 'establishment']",339
OPERATIONAL,"Odabaşı Mah. Atatürk Bulv. No: 146 İskenderun Yolu Üzeri 1. Kilometre, 31030 Antakya, Türkiye","{'location': {'lat': 36.2354052, 'lng': 36.169436}, 'viewport': {'northeast': {'lat': 36.23668677989272, 'lng': 36.17073332989272}, 'southwest': {'lat': 36.23398712010728, 'lng': 36.16803367010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Antakya Akademi Hastanesi,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101360864494803032223"">basheer lyoosh</a>'], 'photo_reference': 'AfLeUgP1OYMyZHQupkmZZfQShLGwsj0s4Hd_-bVvCj09bvV255pbcdDuVdsBh_k0ZTSEnHEoWCcFnXaGYRtERm855CWiOPhuPx64tFQRPPtgsxIpbGhzyleeyi8VWCNgqmxpnPlc7arjWhAW8gUq_wu0E0brwmU33sckF1WTV2cqmpbR77qh', 'width': 4032}]",ChIJ-eDogxDCJRURhz01AyCgaCE,"{'compound_code': '65P9+5Q Antakya, Hatay', 'global_code': '8G8R65P9+5Q'}",2.8,ChIJ-eDogxDCJRURhz01AyCgaCE,"['hospital', 'health', 'store', 'point_of_interest', 'establishment']",209
OPERATIONAL,"Narlıca, 31035 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2289253, 'lng': 36.1974688}, 'viewport': {'northeast': {'lat': 36.23033477989273, 'lng': 36.19888512989272}, 'southwest': {'lat': 36.22763512010729, 'lng': 36.19618547010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,HATAY DİYALİZ MERKEZİ,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112457644863005157317"">yasser rochdie</a>'], 'photo_reference': 'AfLeUgNo0_bClg-BwEAPF_vbR2xR19Pcs9YXBZKsVX3yOuf8ooUxudxiay0_re694bSZdH7Im1z6_KYAa1XT3jSAwYCKNWx1OG5N5umAwTEtxgUb5DrOWfUorRazYpAvOzKAY_HzaTSPVE1xtyJsMXoziGy5VE_DLYAMZZrjceACFh1ju5E4', 'width': 4128}]",ChIJGTSrqQrqJRUR1MgvhRulBIw,"{'compound_code': '65HW+HX Antakya, Hatay', 'global_code': '8G8R65HW+HX'}",0.0,ChIJGTSrqQrqJRUR1MgvhRulBIw,"['hospital', 'health', 'point_of_interest', 'establishment']",0
OPERATIONAL,"Havuzlar, Kıbrıs Şehitleri Cd. No:81, 31070 Antakya/Hatay, Türkiye","{'location': {'lat': 36.1945653, 'lng': 36.167228}, 'viewport': {'northeast': {'lat': 36.19595087989273, 'lng': 36.16851837989272}, 'southwest': {'lat': 36.19325122010729, 'lng': 36.16581872010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Antakya Devlet Hastanesi,,,ChIJ3RoGs9HDJRURNNYcJuiI_V0,"{'compound_code': '55V8+RV Antakya, Hatay', 'global_code': '8G8R55V8+RV'}",4.0,ChIJ3RoGs9HDJRURNNYcJuiI_V0,"['hospital', 'health', 'point_of_interest', 'establishment']",2
OPERATIONAL,"Odabaşı, 31120 Hatay Merkez/Hatay, Türkiye","{'location': {'lat': 36.2311091, 'lng': 36.1642169}, 'viewport': {'northeast': {'lat': 36.23244242989272, 'lng': 36.16565882989272}, 'southwest': {'lat': 36.22974277010727, 'lng': 36.16295917010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,İhtisas Hastanesi,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101518319911714967509"">mohammed haj ali</a>'], 'photo_reference': 'AfLeUgMtF6QAzlPQd1nFqvkAbKF5lvY0arVXxprO2KDA1PxgeOtvC8pLTpLgJJcXwcjhx7C-XxVynES2x6Yy0DvnA-s-tr9fdUnyzOLBwIpOk5sBerXmnF-9XT3q6jgXmwSvufNDWqzjteski3GV5ILgX8QNVyn1LCaxR7XmIlN3EbOZ5mtT', 'width': 3024}]",ChIJuRX97A_CJRUR3cy1a47NhQk,"{'compound_code': '65J7+CM Antakya, Hatay', 'global_code': '8G8R65J7+CM'}",2.7,ChIJuRX97A_CJRUR3cy1a47NhQk,"['hospital', 'health', 'point_of_interest', 'establishment']",3
OPERATIONAL,"Fevzi Çakmak, 1. Sk. No:11, 31070 Antakya/Hatay, Türkiye","{'location': {'lat': 36.1964093, 'lng': 36.1639784}, 'viewport': {'northeast': {'lat': 36.19774057989272, 'lng': 36.16533427989272}, 'southwest': {'lat': 36.19504092010727, 'lng': 36.16263462010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mozaik Tüp Bebek Merkezi,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117484349136969830223"">A Google User</a>'], 'photo_reference': 'AfLeUgPTqzu_Mm4_d3Lmz-S9InROb5jXak4Xh4BJSHAEO4hNPMddRfyLa4Uo9g7ywqXKjbbZw17TjCsYTXvz0qdM1BaaE7Rgr7sKAEprgESVexTZ3lrL_ImnPjVs-AgCgOe0v2ODJAtmjcbcOamO5G_KMUlwH6aACXsw965b7HOFs0h0UIvC', 'width': 3000}]",ChIJRXLVYEvDJRURizfAdO8lK4I,"{'compound_code': '55W7+HH Antakya, Hatay', 'global_code': '8G8R55W7+HH'}",4.8,ChIJRXLVYEvDJRURizfAdO8lK4I,"['hospital', 'health', 'point_of_interest', 'establishment']",16
OPERATIONAL,"Altınçay, Mehmet Kafadar Cd. No:53, 31040 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2156047, 'lng': 36.1366747}, 'viewport': {'northeast': {'lat': 36.21701377989272, 'lng': 36.13808687989273}, 'southwest': {'lat': 36.21431412010728, 'lng': 36.13538722010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Antakya Devlet Hastanesi,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105512369943607305129"">mehmet babalıoğlu</a>'], 'photo_reference': 'AfLeUgOwSIlOiuSRCPR8R_GUZE9qENJVfZt7kSrBILn0m-w_Oyxxl3xMCH8YKDz95YRXGJJ7wMDDZjH_VIIy---yU8EMJlbwCultnF8B31gGix5I5WXDYkIGP9_ndReQuOBRYxkpoB6k-DUHpX6umL5_NfQoAy9Gn6EPlBqjHa2XxLWj6IhH', 'width': 4032}]",ChIJs9_vQFTCJRURQxNshpK8C1M,"{'compound_code': '648P+6M Antakya, Hatay', 'global_code': '8G8R648P+6M'}",2.7,ChIJs9_vQFTCJRURQxNshpK8C1M,"['hospital', 'health', 'point_of_interest', 'establishment']",29
