business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Numune, Dr. Sadık Ahmet Cd. No:89, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5648554, 'lng': 36.1598112}, 'viewport': {'northeast': {'lat': 36.56611685, 'lng': 36.16060580000001}, 'southwest': {'lat': 36.56300065, 'lng': 36.15742739999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel İskenderun Gelişim Hastanesi,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103519060830618872170"">Ahmet Akçay</a>'], 'photo_reference': 'AfLeUgN8Q3tVt-E80fMpvIEb8_u1w0O-z9m6xhXBvTMjI2X9gknLFG_eP40cmzPfnFSWNdWRnm8Klzc_KeTDYG6eDfsBnrnPCYCfqvsY-VyieXaV0VSOezlQtThq9awfmgJIpsZCw1Qr-ZXup7gI_vUTCDSorid70dQ_DyHJU6-SDiqu6TMT', 'width': 4032}]",ChIJ3TC50MBYLxURXm1lComV3WU,"{'compound_code': 'H575+WW İskenderun, Hatay', 'global_code': '8G8RH575+WW'}",3.1,ChIJ3TC50MBYLxURXm1lComV3WU,"['hospital', 'point_of_interest', 'health', 'establishment']",436
OPERATIONAL,"İsmet İnönü, 720. Sk. No:4, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5559643, 'lng': 36.1573993}, 'viewport': {'northeast': {'lat': 36.55750757989272, 'lng': 36.15885512989273}, 'southwest': {'lat': 36.55480792010728, 'lng': 36.15615547010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Palmiye Hastanesi,{'open_now': True},"[{'height': 4912, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112312849466270457156"">Özel Palmiye Hastanesi</a>'], 'photo_reference': 'AfLeUgOnXErecw1ZX43lZOGp18BVKhwbaJyj4URX9OzswHE7Jtw0VzKrTNVD2IFxunwSZoHZDZ5QVoKUpl_-RnsVY33Hgo6Jh5K08M6J1k-2R-86hnkOUPNnd8yF-TDTv8HquZ6vImNKL3WGuA9DCIs80Y565bD14_dI85lD7Mh28A2g1U7X', 'width': 7360}]",ChIJQbS7djJZLxUReY3JVP6lgKU,"{'compound_code': 'H544+9X İskenderun, Hatay', 'global_code': '8G8RH544+9X'}",3.1,ChIJQbS7djJZLxUReY3JVP6lgKU,"['hospital', 'point_of_interest', 'health', 'establishment']",301
OPERATIONAL,"Dumlupınar, Ulucami Cd. No:264, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.582073, 'lng': 36.173879}, 'viewport': {'northeast': {'lat': 36.58388605, 'lng': 36.17579310000001}, 'southwest': {'lat': 36.57979744999999, 'lng': 36.1721671}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Iskenderun Devlet Hastanesi,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113858523774434401312"">muhammet ali yeşilova</a>'], 'photo_reference': 'AfLeUgPEQaAUFp-BIIuIIAoGylUrj0Vg-2L_-hlxSO8_ghG2Qw_AayjPX9yBGfW1Gz-2WgMaHMj9Z0PMipig6GWKVBoHxd4xHgUpoBVrngViwgbPAWGn2nHNvoMwL_SpgdgJT5wpQ2DGhLsDK9jt086sy9cvhp9_35uNfCwoM5iVKtfQ5StC', 'width': 4032}]",ChIJG2wsstNYLxURaykmIG8VZPs,"{'compound_code': 'H5JF+RH İskenderun, Hatay', 'global_code': '8G8RH5JF+RH'}",3.2,ChIJG2wsstNYLxURaykmIG8VZPs,"['hospital', 'doctor', 'point_of_interest', 'health', 'establishment']",122
OPERATIONAL,"Numune, 31230 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5679699, 'lng': 36.1613289}, 'viewport': {'northeast': {'lat': 36.56931942989273, 'lng': 36.16268597989271}, 'southwest': {'lat': 36.56661977010729, 'lng': 36.15998632010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,---------,,,ChIJV-hAxkBZLxURraddIxCWtlQ,"{'compound_code': 'H596+5G İskenderun, Hatay', 'global_code': '8G8RH596+5G'}",3.0,ChIJV-hAxkBZLxURraddIxCWtlQ,"['hospital', 'point_of_interest', 'health', 'establishment']",2
OPERATIONAL,"Süleymaniye, Kazım Karabekir Cd. No:1, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.591385, 'lng': 36.1614959}, 'viewport': {'northeast': {'lat': 36.59272342989272, 'lng': 36.16288232989272}, 'southwest': {'lat': 36.59002377010727, 'lng': 36.16018267010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hatay İskenderun Devlet Hastanesi,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116218528424504088152"">Fahreddin Osmanca</a>'], 'photo_reference': 'AfLeUgPncGJijEK2IL2Aq4VCfRMJi2t86Y8KXc2uhE0Io5xEEoPUqftfHyUGoqdsdbPyge3hFEyIpjTWYOrItAz4ebtIaEkyOXVnrsRlzBeptfXcpLIP7JekDUshtVvZxoSW7wNpTEFL4IdGUoKSqogmmsKaR5jHreClixv0hyKSO30d4O5p', 'width': 4160}]",ChIJ46fMPztZLxURBa4HI-aOlIw,"{'compound_code': 'H5R6+HH İskenderun, Hatay', 'global_code': '8G8RH5R6+HH'}",3.7,ChIJ46fMPztZLxURBa4HI-aOlIw,"['hospital', 'point_of_interest', 'health', 'establishment']",6
OPERATIONAL,"Dumlupınar, 259. Sk. No:18, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.58202, 'lng': 36.174336}, 'viewport': {'northeast': {'lat': 36.58315667989272, 'lng': 36.17586197989272}, 'southwest': {'lat': 36.58045702010727, 'lng': 36.17316232010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,مستشفى سكندراون,,,ChIJIaM4kixZLxURLqlB3jVVGN0,"{'compound_code': 'H5JF+RP İskenderun, Hatay', 'global_code': '8G8RH5JF+RP'}",2.5,ChIJIaM4kixZLxURLqlB3jVVGN0,"['hospital', 'point_of_interest', 'health', 'establishment']",2
OPERATIONAL,"Çay, 115. Sk., 31300 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5884887, 'lng': 36.1739824}, 'viewport': {'northeast': {'lat': 36.58977892989272, 'lng': 36.17532692989272}, 'southwest': {'lat': 36.58707927010728, 'lng': 36.17262727010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Bağlar Teknoloji Hastanesi,,,ChIJEWa5AzNZLxURoRxeYvSojlY,"{'compound_code': 'H5QF+9H İskenderun, Hatay', 'global_code': '8G8RH5QF+9H'}",0.0,ChIJEWa5AzNZLxURoRxeYvSojlY,"['hospital', 'point_of_interest', 'health', 'establishment']",0
OPERATIONAL,"Numune, Dr. Sadık Ahmet Cd. No:89, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5761967, 'lng': 36.1639786}, 'viewport': {'northeast': {'lat': 36.57754652989272, 'lng': 36.16532842989272}, 'southwest': {'lat': 36.57484687010728, 'lng': 36.16262877010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,İskenderun Özel Gelişim Hastanesi,,,ChIJcVGjlNlYLxUR_RRh1NTukAA,"{'compound_code': 'H5G7+FH İskenderun, Hatay', 'global_code': '8G8RH5G7+FH'}",0.0,ChIJcVGjlNlYLxUR_RRh1NTukAA,"['hospital', 'point_of_interest', 'health', 'establishment']",0
OPERATIONAL,"Dumlupınar, 259. Sk. No:18, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5820945, 'lng': 36.1750839}, 'viewport': {'northeast': {'lat': 36.58342347989272, 'lng': 36.17636837989272}, 'southwest': {'lat': 36.58072382010727, 'lng': 36.17366872010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Dumlupınar Acil Hastane,,,ChIJ____vyxZLxURtFp4XxObRY8,"{'compound_code': 'H5JG+R2 İskenderun, Hatay', 'global_code': '8G8RH5JG+R2'}",0.0,ChIJ____vyxZLxURtFp4XxObRY8,"['hospital', 'point_of_interest', 'health', 'establishment']",0
OPERATIONAL,"Numune, İbrahim Karaoğlanoğlu Cd. 101/A, 31200 İskenderun/Hatay, Türkiye","{'location': {'lat': 36.5652601, 'lng': 36.1574334}, 'viewport': {'northeast': {'lat': 36.56661227989272, 'lng': 36.15875147989272}, 'southwest': {'lat': 36.56391262010727, 'lng': 36.15605182010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,ÖZEL İSKENDERUN MDPARK TIP MERKEZİ,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114351175678568515994"">A Google User</a>'], 'photo_reference': 'AfLeUgMH8ZFIhvACLT7hWHBciwETLOCmSdML_QbvDHBjcdDGYeEsvXTZ7ZMndAoKK2wubjgHeK_TPDy9mN3uU0lHeU7Kzx48A79hKY70qy02n2QccVImEuyZj1bO0-JBBb4F4CfDyGeIqL9Rs57u61x7xrzSDV_kmlm-C1zMIuo62iXdeFgq', 'width': 1152}]",ChIJZ4NIO2VZLxURwAVyWZQDWV4,"{'compound_code': 'H584+4X İskenderun, Hatay', 'global_code': '8G8RH584+4X'}",3.4,ChIJZ4NIO2VZLxURwAVyWZQDWV4,"['hospital', 'point_of_interest', 'health', 'establishment']",31
