business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Fırat, Şefik Tugay Cd. No:15, 44000 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.344879, 'lng': 38.3298612}, 'viewport': {'northeast': {'lat': 38.34625712989272, 'lng': 38.33111537989272}, 'southwest': {'lat': 38.34355747010727, 'lng': 38.32841572010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Malatya Park Hospital,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108166713374787335707"">Animal Kingdom</a>'], 'photo_reference': 'AfLeUgObpK5I7_Wu3wkyVnMLlVvbTYf08CjNDOSij2FEEqF8edpH11VWpbdJcMCcEaiCvN3MSPT5IvwLUYARa0q9V78R0wSjGKxzfNLXrQb6WQKLnD46yUWafJ4cBmmsjnYXY6YXuXbViuE1LRd4VeMrTwXozfIWyIg7gC7h7aRGjorq4Bdo', 'width': 3840}]",ChIJEwJUfdw2dkARwgUHJbYsopA,"{'compound_code': '88VH+XW Battalgazi, Malatya', 'global_code': '8GCW88VH+XW'}",2.9,ChIJEwJUfdw2dkARwgUHJbYsopA,"['hospital', 'health', 'point_of_interest', 'establishment']",123
OPERATIONAL,"B. Hüseyinbey Mh, Atatürk Cd. No:37, 44100 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.349199, 'lng': 38.3225966}, 'viewport': {'northeast': {'lat': 38.35043362989272, 'lng': 38.32397602989272}, 'southwest': {'lat': 38.34773397010727, 'lng': 38.32127637010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Private Hayat Hospital EGM,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718950343934562658"">ozay</a>'], 'photo_reference': 'AfLeUgMsQlDlv_odDVQCTITRDHS1fDQPpMkkKrhf3MlzKwECw9RjHGNpvctc9qfTFLwLz8rOfR3zE011w37DX9k9uT63iaiAhncVuWbGfIomi3hkw1T-E7SLJhZ-1nbvUOCq7g5hFEkNE5Uh6kiqsAaMeQC0BEP4TqZw9UNHxgDZQ02siofb', 'width': 3000}]",ChIJ9eTFcME2dkARz3Bbc3z2WYA,"{'compound_code': '88XF+M2 Battalgazi, Malatya', 'global_code': '8GCW88XF+M2'}",2.8,ChIJ9eTFcME2dkARz3Bbc3z2WYA,"['hospital', 'health', 'point_of_interest', 'establishment']",49
OPERATIONAL,"Merkez, Hastane Cd. No:16, 44320 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.346536, 'lng': 38.3288902}, 'viewport': {'northeast': {'lat': 38.34764092989273, 'lng': 38.33169370000001}, 'southwest': {'lat': 38.34494127010728, 'lng': 38.32795569999998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Müjde Hospital,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718950343934562658"">ozay</a>'], 'photo_reference': 'AfLeUgNcJ6x_2F_i9DlMpgPJM84Uv6KOAy_6-0V0eTul-cWBn2kVijZrhutgzyd4YG_Rq8LE8hRZ6Gpg2Fz-1hjphS1jMASstROe5ckYflS0Sk3b73S0VpbDC5qZ-S9Dedfey9bMfVWSGwQtSmf0epdQQKasvUnOCxjaGPUiWLimrxcvSfmP', 'width': 3264}]",ChIJMQoF4dw2dkARlkCVF_1qJ1w,"{'compound_code': '88WH+JH Battalgazi, Malatya', 'global_code': '8GCW88WH+JH'}",3.3,ChIJMQoF4dw2dkARlkCVF_1qJ1w,"['hospital', 'health', 'point_of_interest', 'establishment']",87
OPERATIONAL,"Özalper, Kanal Boyu Cd. No:4, 44000 Yeşilyurt/Malatya, Türkiye","{'location': {'lat': 38.3489011, 'lng': 38.2816673}, 'viewport': {'northeast': {'lat': 38.35051247989272, 'lng': 38.28316327989273}, 'southwest': {'lat': 38.34781282010728, 'lng': 38.28046362010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Malatya Education and Research Hospital,{'open_now': True},"[{'height': 1031, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118374239741492097900"">A Google User</a>'], 'photo_reference': 'AfLeUgOO3Qi_db4UpnFwWIsYnmREvBJTkv1vuM_YYwZQrFnz4R-8QVRZ9FYaZpn6NO0U0GNJAa8P-2IMbnRkyQOetb9qfrv1DoA6NqSVqwDmSsBTX2JM6KHvjKenUqGNuFhl0tRNLUWP57OvoGTBXvd2bVg_uoFRjE85faqjhtXliQnpFr2f', 'width': 1080}]",ChIJWeACkt02dkARJ13KYkImgbM,"{'compound_code': '87XJ+HM Yeşilyurt, Malatya', 'global_code': '8GCW87XJ+HM'}",3.1,ChIJWeACkt02dkARJ13KYkImgbM,"['hospital', 'health', 'point_of_interest', 'establishment']",334
OPERATIONAL,"Ferhadiye, Atatürk Cd. NO:14, 44300 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.3491258, 'lng': 38.3209486}, 'viewport': {'northeast': {'lat': 38.35055847989272, 'lng': 38.32232222989272}, 'southwest': {'lat': 38.34785882010728, 'lng': 38.31962257010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Malatya Special Love Hospital,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718950343934562658"">ozay</a>'], 'photo_reference': 'AfLeUgP-zYXf2Mtvm9B_jrYVsHXkkafvMkK35MEkpiZx5QOtUYJEwJ0OXWYDVAcHtl6SSfSpjU0c0E0JeRjlgT1l6K_PtM_g1GJssBlqjwIwTMGfmHaAe9xR9Q9TXh9UtkYuS4ETGc1jp0cySCXXyKMhGISTcqgP7iMTzkI6YMdKvLFCZTPM', 'width': 4000}]",ChIJrVSdEME2dkARdv8HmRWK2Us,"{'compound_code': '88XC+M9 Battalgazi, Malatya', 'global_code': '8GCW88XC+M9'}",3.7,ChIJrVSdEME2dkARdv8HmRWK2Us,"['hospital', 'health', 'point_of_interest', 'establishment']",259
OPERATIONAL,"Cevatpaşa, Ankara Asfaltı No:216, 44915 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.338002, 'lng': 38.246004}, 'viewport': {'northeast': {'lat': 38.33936092989273, 'lng': 38.24734972989273}, 'southwest': {'lat': 38.33666127010728, 'lng': 38.24465007010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Universal Malatya Hopspital,,,ChIJefPrK9szdkAReIifLpcrsAk,,4.3,ChIJefPrK9szdkAReIifLpcrsAk,"['hospital', 'health', 'point_of_interest', 'establishment']",3
OPERATIONAL,"B. Hüseyinbey Mahallesi Atatürk, Atatürk Cd. No:47/A, 44100 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3491967, 'lng': 38.3225953}, 'viewport': {'northeast': {'lat': 38.35045572989272, 'lng': 38.32391622989272}, 'southwest': {'lat': 38.34775607010727, 'lng': 38.32121657010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hayat Hastanesi,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108192386113665755153"">Faik yılmaz</a>'], 'photo_reference': 'AfLeUgM11-uwY4Cu5JyPf7i5qhbpM_dRTH5eTmIEInKQ1VipYjFjqqNEfKjVk6PtHiEVhUSe3PqsuPpLBommILMXg1-6cm7dFotj0-sO0FnjQXL1uGjlOfAPLfC4P5CPzGLz0-fTTtSK1r42Cgt8hsMA47oywN44HWcnLLT1b8hZ1dNN5sF2', 'width': 1846}]",ChIJbaXacME2dkARxTH5lmkT2zQ,"{'compound_code': '88XF+M2 Battalgazi, Malatya', 'global_code': '8GCW88XF+M2'}",2.8,ChIJbaXacME2dkARxTH5lmkT2zQ,"['hospital', 'health', 'point_of_interest', 'establishment']",32
OPERATIONAL,"Şifa, İnönü Cd. No:145, 44100 Merkez/Malatya, Türkiye","{'location': {'lat': 38.3477732, 'lng': 38.3048399}, 'viewport': {'northeast': {'lat': 38.34924207989272, 'lng': 38.30618497989273}, 'southwest': {'lat': 38.34654242010728, 'lng': 38.30348532010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Gözde Sıtmapınarı Hospital,{'open_now': True},"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111883600652598978687"">A Google User</a>'], 'photo_reference': 'AfLeUgPvJs1sbfWPGMk20oKFdq4-KBm4XScAvED33zOx5Wfr4SLNEEVI-6w3XkRk3B3FC2b2DkY8bfDvpCYg9q6CFsxYRlFkJPTjO_GtOwdVq04WcSlLtA1Qa3OOeRzjYdmezwOyz_F0gg_Jkn40xBiB93YtZqeyc8xRUx4shVzkMoMPd8qJ', 'width': 2136}]",ChIJ9X4yMrc2dkARvCzCF_oD-o0,"{'compound_code': '88X3+4W Battalgazi, Malatya', 'global_code': '8GCW88X3+4W'}",3.8,ChIJ9X4yMrc2dkARvCzCF_oD-o0,"['hospital', 'health', 'point_of_interest', 'establishment']",401
OPERATIONAL,"Özalpler Mah, Turgut Özal Blv No:4, 44330 Yeşilyurt/Malatya, Türkiye","{'location': {'lat': 38.3489462, 'lng': 38.2803127}, 'viewport': {'northeast': {'lat': 38.35001497989272, 'lng': 38.28159357989271}, 'southwest': {'lat': 38.34731532010728, 'lng': 38.27889392010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Malatya Eğitim ve Araştırma Hastanesi Acil Servis,{'open_now': True},"[{'height': 1844, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100693116997441352228"">engin demirci</a>'], 'photo_reference': 'AfLeUgMjuXyuND8pf8-IXGjyTHdII-w8sPZwom12f0A58atMXt8VxA38XXCGE3rSwB1L02JX04vCEhWbVFUZFodt8Jpe3M_uqZRHjt2thMG-Xa5LKpBE9j7XQPhXrZYKxCJfyZVNYARYBSlJqWo5_OpmPaKJgZI5t04U82prtLduzBsUyuh3', 'width': 4000}]",ChIJcdXB718xdkAR8AyxltWryGw,"{'compound_code': '87XJ+H4 Yeşilyurt, Malatya', 'global_code': '8GCW87XJ+H4'}",2.4,ChIJcdXB718xdkAR8AyxltWryGw,"['hospital', 'health', 'point_of_interest', 'establishment']",7
OPERATIONAL,"Göztepe, 17. Sk., 44050 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.364876, 'lng': 38.34684499999999}, 'viewport': {'northeast': {'lat': 38.36621722989272, 'lng': 38.34810767989272}, 'southwest': {'lat': 38.36351757010728, 'lng': 38.34540802010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Malatya Devlet Hastanesi Toplum Ruh Sağlığı Merkezi,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101172021342575112198"">Yusuf Sarıtemur</a>'], 'photo_reference': 'AfLeUgOd6Xm2ws_7c2EsIcNHQ9oPER7dpDcrFbUurn6P-RAZdSUEFMLW6tAxvCArrBmKSchO05YYeZcauInZq35H-M9Ppd0lw3VqfAeKKW9-FT4o4Xd-A-0ePDXu6JrKJKArx__GkQVOGp3--Z8WTRiehLw2v1AAAYHSgzez7VsGdLRoflRp', 'width': 2576}]",ChIJ-Raxwlg2dkARoOELHiU6uS4,"{'compound_code': '987W+XP Battalgazi, Malatya', 'global_code': '8GCW987W+XP'}",5.0,ChIJ-Raxwlg2dkARoOELHiU6uS4,"['hospital', 'health', 'point_of_interest', 'establishment']",2
