business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Şenevler, Şanlıurfa Diyarbakır Yolu No:142, 63320 Karaköprü/Şanlıurfa, Türkiye","{'location': {'lat': 37.2194382, 'lng': 38.7969858}, 'viewport': {'northeast': {'lat': 37.22076952989272, 'lng': 38.79811872989272}, 'southwest': {'lat': 37.21806987010728, 'lng': 38.79541907010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,LOTUS HOSPITAL,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109608953134305534723"">Her şeyden Bir tutam</a>'], 'photo_reference': 'AfLeUgNzmt8T_V2NAzMGK8xRPKTwjd41cEaCzl5Q8btsiZ0xLO01qkaSF7BOxkUVX9fXcGjzlYnfyuZDdRsbu5wsmduH5pLxByw1V-jPPXfsbXrKIUmgcIkrz3CzcbAKxmWC3GuVPQOv1hlL4YDt7BU6hhW5wwm87YvsnqUfvxJMrxhxvFVw', 'width': 1080}]",ChIJwbWxSpR6NBURgzE8-r9nkG0,"{'compound_code': '6Q9W+QQ Karaköprü, Şanlıurfa', 'global_code': '8G9W6Q9W+QQ'}",3.1,ChIJwbWxSpR6NBURgzE8-r9nkG0,"['hospital', 'health', 'point_of_interest', 'establishment']",198
OPERATIONAL,"Paşabağı, Şani Efendi Cd. No:169, 63300 Haliliye/Şanlıurfa, Türkiye","{'location': {'lat': 37.1550841, 'lng': 38.8045364}, 'viewport': {'northeast': {'lat': 37.15639517989273, 'lng': 38.80591142989272}, 'southwest': {'lat': 37.15369552010728, 'lng': 38.80321177010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Nev Hospital,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104358442938559046804"">EKN ANONİM ŞİRKETİ</a>'], 'photo_reference': 'AfLeUgMUh1bwH9GZGrVUOHmgUHGQYlr3mg6j5nBMc__HgHO5-dSBsfl-LIszL_Rf2VMQOxe2e_I7qcFcQQ0nGoHHPCtpieK99LWBreglmpu2-NouwtfrnpF1LunIW-cKknAcVTSJxT67WD9YzyXMFvLAuyaM7NmDSY5JF2TcdUVplWjxuzVH', 'width': 4032}]",ChIJVbUnn39xNBURvnPkqHwTSPg,"{'compound_code': '5R43+2R Karaköprü, Şanlıurfa', 'global_code': '8G9W5R43+2R'}",4.5,ChIJVbUnn39xNBURvnPkqHwTSPg,"['hospital', 'health', 'point_of_interest', 'establishment']",71
OPERATIONAL,"Atatürk, Şht. Nusret Cd. No:9, 63100 Haliliye/Şanlıurfa, Türkiye","{'location': {'lat': 37.15985149999999, 'lng': 38.7906177}, 'viewport': {'northeast': {'lat': 37.16125127989272, 'lng': 38.79198152989272}, 'southwest': {'lat': 37.15855162010727, 'lng': 38.78928187010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,PRIVATE MEYDAN HOSPITAL,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118009301509409942251"">Mehmet Hazar</a>'], 'photo_reference': 'AfLeUgOT2C89B2OWjPlmoHFAgvVATwKRChcxxfL1Qq6Hlyg084lKjs4N85qgBtYykeLn4kJejuSR4bczdWZtlJgMyWzB8yiHioyf_AupO0qqnZAomVd7-x13n_k8e3NvYwRsfmDqJbOGTFpAq7taBPY6frU7Mtzd4KKt2sWRV56wwG6oi2_P', 'width': 3120}]",ChIJFwyT5bpxNBUR1kG_B1TNwys,"{'compound_code': '5Q5R+W6 Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q5R+W6'}",2.5,ChIJFwyT5bpxNBUR1kG_B1TNwys,"['hospital', 'health', 'point_of_interest', 'establishment']",185
OPERATIONAL,"Esentepe, Ertuğrul Cad 132 A, 63040 Şanlıurfa Merkez/Haliliye/Şanlıurfa, Türkiye","{'location': {'lat': 37.18382890000001, 'lng': 38.81229990000001}, 'viewport': {'northeast': {'lat': 37.18520192989273, 'lng': 38.81352322989272}, 'southwest': {'lat': 37.18250227010728, 'lng': 38.81082357010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Şanlıurfa Mehmet Akif İnan Eğitim ve Araştırma Hastanesi Haliliye Ek Binası,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118009301509409942251"">Mehmet Hazar</a>'], 'photo_reference': 'AfLeUgM3GOCwbZCeF3IQiYcKKKAfpv3wDyhjS3Lo-QBEPBGEwwTLeC15_soBhpQMrsUBX2lKCYAC-ooRBpKJntRWlM6wDgal_JFB4k7bg53hqXeO9iytCxrYButzJORaBw6duJz_S6Kvtid1RMBokDx5yAxchrRvQ6w0vQFJPR17inwRBLgq', 'width': 4000}]",ChIJfS_VpitwNBURuuVEPR2k3Gg,"{'compound_code': '5RM6+GW Karaköprü, Şanlıurfa', 'global_code': '8G9W5RM6+GW'}",3.4,ChIJfS_VpitwNBURuuVEPR2k3Gg,"['hospital', 'health', 'point_of_interest', 'establishment']",251
OPERATIONAL,"Akabe, SSK Cd. No:1, 63050 Eyyübiye/Şanlıurfa, Türkiye","{'location': {'lat': 37.1553258, 'lng': 38.7753853}, 'viewport': {'northeast': {'lat': 37.15664292989273, 'lng': 38.77729512989272}, 'southwest': {'lat': 37.15394327010728, 'lng': 38.77459547010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Balıklıgöl Devlet Hastanesi,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118142078445263091309"">mustafa kertel</a>'], 'photo_reference': 'AfLeUgOFxKcqsXlufKF827N6jCuWpGwTf_Pn9jbqiIQrrjqXsbJ2Zva3pV0qUExfnk1VIZl_dskqvNtepUMcXGpjWnSnx61A8cRMfjLG97U36cCOuh8-tOlOlmTVdN6YsTpUr2_rWhwHnPw_KRawGOT4juTR3mHi8ujVJP38yo5XefWWP772', 'width': 4128}]",ChIJTfURrHVxNBURLBa2-wGvaYo,"{'compound_code': '5Q4G+45 Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q4G+45'}",3.5,ChIJTfURrHVxNBURLBa2-wGvaYo,"['hospital', 'health', 'point_of_interest', 'establishment']",189
OPERATIONAL,"Paşabağı, Şani Efendi Cd. No:167, 63040 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.154925, 'lng': 38.804051}, 'viewport': {'northeast': {'lat': 37.15617577989272, 'lng': 38.80545477989273}, 'southwest': {'lat': 37.15347612010728, 'lng': 38.80275512010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Urfa Medigap Hospital,,"[{'height': 420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113995228344098021711"">Ali Almaz</a>'], 'photo_reference': 'AfLeUgM4CD_-cRUfcbxpks1lzM7M3oh786JZPCjQ9QMEyIrDARMz7TPm87rxgIAxwUm-qZDXKihSJv_HUHE3Q8F8nsQo_hGHVEev9A9p2wCEHUITfF94djC1I_E3ZP5ihRlcaRE5vdqx5XdnRoKK7bbbJz0N3vz_321k2_pDdI9Hpy55tOFc', 'width': 870}]",ChIJFy8fZsZxNBURWOm5kkwyJXY,"{'compound_code': '5R33+XJ Karaköprü, Şanlıurfa', 'global_code': '8G9W5R33+XJ'}",3.0,ChIJFy8fZsZxNBURWOm5kkwyJXY,"['hospital', 'health', 'point_of_interest', 'establishment']",5
OPERATIONAL,"İpekyol, 2329. Sk. 28 A, 63050 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1682987, 'lng': 38.78930829999999}, 'viewport': {'northeast': {'lat': 37.16960662989273, 'lng': 38.79065402989272}, 'southwest': {'lat': 37.16690697010728, 'lng': 38.78795437010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Mediser Medikal,,,ChIJc0epd7JxNBURRLfdkbhY5WQ,"{'compound_code': '5Q9Q+8P Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q9Q+8P'}",0.0,ChIJc0epd7JxNBURRLfdkbhY5WQ,"['hospital', 'health', 'point_of_interest', 'establishment']",0
OPERATIONAL,"Şenevler, Gap Blv. No:142, 63320 Karaköprü/Şanlıurfa, Türkiye","{'location': {'lat': 37.2194931, 'lng': 38.7969753}, 'viewport': {'northeast': {'lat': 37.22084352989273, 'lng': 38.79847332989272}, 'southwest': {'lat': 37.21814387010728, 'lng': 38.79577367010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Özel Urfa Lotus Hastanesi,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104801209853682694866"">Kenan Duraz</a>'], 'photo_reference': 'AfLeUgP09NAH5EVN_iAEBT29NMhBjfkREqqTxBTIpDZ-URLwtJ7xDztPJAvd4UY3fwK6vUzAEIkvEGUiXsKgOf-B4hJ4l5nIDQEMng63MNUC-2rQBGZX90MgPSnpjwvTOVhuCPG2rv_lQyMIkBmEBWxJv3a9vW_K6i3YKErCCX1EycwRQcDu', 'width': 3096}]",ChIJoXeQ33NwNBURLDS483Tgk8I,"{'compound_code': '6Q9W+QQ Karaköprü, Şanlıurfa', 'global_code': '8G9W6Q9W+QQ'}",1.8,ChIJoXeQ33NwNBURLDS483Tgk8I,"['hospital', 'health', 'point_of_interest', 'establishment']",6
OPERATIONAL,"Yenice, 63250 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1157048, 'lng': 38.8239323}, 'viewport': {'northeast': {'lat': 37.11683502989271, 'lng': 38.82545887989271}, 'southwest': {'lat': 37.11413537010727, 'lng': 38.82275922010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Şanlıurfa Eyyübiye çocuk Hastahanesi,{'open_now': True},"[{'height': 2669, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109477204718024432867"">Albay Can</a>'], 'photo_reference': 'AfLeUgP5EybeSK4jrmnDxWf6W5WnyK09Mii5uKF42v_N2vT0d7VrtvAPchKZxnV2gYqm_zxpqJh5UU4OJ4KwuhXTLgWh7NfnS4TcIjViymhHNZaql1G7DQt1iFACF5ww9LwOOdru4cy4YCbV0zvtupReKkS8lXrEfH7JhLThwVv_GSauEwWn', 'width': 4096}]",ChIJTXLtPPltNBURQmlmpXBz0BY,"{'compound_code': '4R8F+7H Karaköprü, Şanlıurfa', 'global_code': '8G9W4R8F+7H'}",3.3,ChIJTXLtPPltNBURQmlmpXBz0BY,"['hospital', 'health', 'point_of_interest', 'establishment']",6
OPERATIONAL,"Ertuğrul Gazi, A, Yunus Emre Cd. No:112, 63300 Şanlıurfa, Türkiye","{'location': {'lat': 37.1790542, 'lng': 38.8127336}, 'viewport': {'northeast': {'lat': 37.18038287989273, 'lng': 38.81399507989272}, 'southwest': {'lat': 37.17768322010728, 'lng': 38.81129542010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Incisin,,,ChIJ7YfVXyJwNBURXwMCVi7RNvs,"{'compound_code': '5RH7+J3 Karaköprü, Şanlıurfa', 'global_code': '8G9W5RH7+J3'}",0.0,ChIJ7YfVXyJwNBURXwMCVi7RNvs,"['hospital', 'health', 'point_of_interest', 'establishment']",0
