business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Zafer, Mehmet Buyruk Cd. 45/A, 44300 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3483684, 'lng': 38.3339811}, 'viewport': {'northeast': {'lat': 38.34963577989273, 'lng': 38.33533837989272}, 'southwest': {'lat': 38.34693612010728, 'lng': 38.33263872010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Governor's Mansion Pharmacy,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109757768786079087302"">Vali Konağı Eczanesi</a>'], 'photo_reference': 'AfLeUgN58hJSn_OZiR1S8VWPVLTaT46k0hpiwppZ0P38UBff6Gja6wygfC1NEBo8Aax7JXkMtWLeI0ea5r9Q-xXW2NdI8rxACVvRaNjSgNRKxP-zXvWX3ySrYv6013W9caMRVOmKf71T5A6sFRc4JuHgsbV3acFyGgodhk_cKH5SmpidWQbQ', 'width': 1920}]",ChIJ-6Wgl-c2dkARUbhU1u9zWXc,"{'compound_code': '88XM+8H Battalgazi, Malatya', 'global_code': '8GCW88XM+8H'}",4.7,ChIJ-6Wgl-c2dkARUbhU1u9zWXc,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",9
OPERATIONAL,"Hamidiye, Temelli Pasajı PTT Caddesi D:No:12/a, 44100 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3489647, 'lng': 38.3174737}, 'viewport': {'northeast': {'lat': 38.35043447989272, 'lng': 38.31897052989272}, 'southwest': {'lat': 38.34773482010728, 'lng': 38.31627087010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Malatya Eczanesi,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114818501112554717886"">tataristanbultr Şah</a>'], 'photo_reference': 'AfLeUgMNSNHE5K3m-39xRrBa0ylRLjxYJawfPawJ26Ja1uTpTTJWj8jr89tMDOE_HdyKkOOegnglUa2q1C21Zm37sUSDP0v2qizqBtwWQrCU7mpaO8aEFS4YqXmsjgBIg3jv0IoPw9H3mgRHHleZF4BKw_J4OOk2mqx6k8XfiihvPCK0aYga', 'width': 3264}]",ChIJ5_tPA782dkARCjL6MPcnmmo,"{'compound_code': '88X8+HX Battalgazi, Malatya', 'global_code': '8GCW88X8+HX'}",5.0,ChIJ5_tPA782dkARCjL6MPcnmmo,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",1
OPERATIONAL,"Hamidiye, İnönü Cd. No:33, 44200 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3481952, 'lng': 38.3144031}, 'viewport': {'northeast': {'lat': 38.34959547989271, 'lng': 38.31575012989271}, 'southwest': {'lat': 38.34689582010727, 'lng': 38.31305047010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,KİĞILI PHARMACY,{'open_now': False},,ChIJGWfYJL82dkARDHs66mj5w7k,"{'compound_code': '88X7+7Q Battalgazi, Malatya', 'global_code': '8GCW88X7+7Q'}",3.3,ChIJGWfYJL82dkARDHs66mj5w7k,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",7
OPERATIONAL,"Hamidiye, Emeksiz Cad., 44210 Pk:44200 Merkez/Malatya, Türkiye","{'location': {'lat': 38.3478936, 'lng': 38.3148165}, 'viewport': {'northeast': {'lat': 38.34925482989272, 'lng': 38.31605542989272}, 'southwest': {'lat': 38.34655517010728, 'lng': 38.31335577010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Sıhhat Eczanesi,{'open_now': False},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106647896010055867879"">A Google User</a>'], 'photo_reference': 'AfLeUgPASxZs0kU5pV6x9UGd93-qrYMABbfdKn33Bvuu87JI4tAuGefDUyb_83MxpT3nUxXIKs72iHaq2X7aHwHfcXeZQfEB1MHZFl_xOavK2xfyufz3fjVdlP_JHLuFDfROYEMg1dcfQAbogoa3nY2BCXsJQm6PUew9vXn-G3WtrIe33FFg', 'width': 1908}]",ChIJc8oCdsc2dkARIejXH-embx8,"{'compound_code': '88X7+5W Battalgazi, Malatya', 'global_code': '8GCW88X7+5W'}",2.5,ChIJc8oCdsc2dkARIejXH-embx8,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",4
OPERATIONAL,"B. Hüseyinbey, Atatürk Cd. No:29/C, 44100 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3493827, 'lng': 38.3212983}, 'viewport': {'northeast': {'lat': 38.35068972989272, 'lng': 38.32264062989272}, 'southwest': {'lat': 38.34799007010728, 'lng': 38.31994097010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Deva Pharmacy,{'open_now': False},"[{'height': 1519, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102121429416508517364"">Ahmet</a>'], 'photo_reference': 'AfLeUgOem2Z-iRy8mg5WPs4uZwn21IcNgMxbg4Er9pEV2CCZuZlruKnSoB5JzT_Xj-FRlPcvJwYc20cpO9aCDhIxcK57TKiqbCML6hQztnyQgdptwQHiSDPzPxDKSn3jwKi8QBiLDVGsSHv2sknE5o3ySvoZQZHQ9hsEMCWcLpQsQ8HXODhn', 'width': 1274}]",ChIJx9GSEcE2dkAR4Eq6E2qWYmw,"{'compound_code': '88XC+QG Battalgazi, Malatya', 'global_code': '8GCW88XC+QG'}",5.0,ChIJx9GSEcE2dkAR4Eq6E2qWYmw,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",2
OPERATIONAL,"Üçbağlar, Sivas Cd., 44300 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3523238, 'lng': 38.327833}, 'viewport': {'northeast': {'lat': 38.35372192989272, 'lng': 38.32914097989273}, 'southwest': {'lat': 38.35102227010728, 'lng': 38.32644132010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Derman Eczanesi,{'open_now': False},,ChIJ8TI4zus2dkARlbNWtCUH3hY,"{'compound_code': '982H+W4 Battalgazi, Malatya', 'global_code': '8GCW982H+W4'}",3.0,ChIJ8TI4zus2dkARlbNWtCUH3hY,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",2
OPERATIONAL,"Saray, Ömer Efendi Sk. No:5, 44300 Malatya Merkez/Malatya, Türkiye","{'location': {'lat': 38.3483534, 'lng': 38.3213124}, 'viewport': {'northeast': {'lat': 38.34967202989272, 'lng': 38.32264992989271}, 'southwest': {'lat': 38.34697237010728, 'lng': 38.31995027010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Murat Medikal,,,ChIJCzHoRME2dkAR1-CI8DZuMeU,"{'compound_code': '88XC+9G Battalgazi, Malatya', 'global_code': '8GCW88XC+9G'}",5.0,ChIJCzHoRME2dkAR1-CI8DZuMeU,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",1
OPERATIONAL,"Fırat, Hastane Cd. No:40/A, 44300 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.3456991, 'lng': 38.3319329}, 'viewport': {'northeast': {'lat': 38.34710112989272, 'lng': 38.33329272989273}, 'southwest': {'lat': 38.34440147010728, 'lng': 38.33059307010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yakinci Pharmacy,{'open_now': False},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106647896010055867879"">A Google User</a>'], 'photo_reference': 'AfLeUgOUysVKtvx-2AUlkgEoqAjjsuhX0C5T8O2BuTEcNnNyiJ4nTrBmGLPgo1eI6AiXKr3P3h_KbclKquqFbhMWmV4eKcoGZ6Z2KaW5sPing21OnEAhK-CU83_e_lxmWlalB9fGMCHxrsiXQXfW3DD1hhq5RGzc4Rvup2E42GqXPKBTkbuF', 'width': 1908}]",ChIJpRKnaew2dkAR_wXnrUMdtfk,"{'compound_code': '88WJ+7Q Battalgazi, Malatya', 'global_code': '8GCW88WJ+7Q'}",5.0,ChIJpRKnaew2dkAR_wXnrUMdtfk,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']",6
OPERATIONAL,"Çöşnük, Atabey sokağı no 8 D:2a, 44320 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.3464026, 'lng': 38.3457005}, 'viewport': {'northeast': {'lat': 38.34776622989272, 'lng': 38.34704877989272}, 'southwest': {'lat': 38.34506657010728, 'lng': 38.34434912010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Duygu Pharmacy,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102965519569183794444"">Fahrettin çiftçi</a>'], 'photo_reference': 'AfLeUgMnOqxTrOdy5jc4l_2whRThNasKGMsf-rFl1TwkRGYDlZQWNTO6AQpYZz8p525RWGaC4vrXfN-SUAVF54Q8o1KDHpddDNnNp2FhL6uxBG7z09BP1fM8daFhZ-BD3cuxtzSEyc0MQevNyup_DKKUfSzFlVkE2pY7ybhanMx1yRvQSVGM', 'width': 1920}]",ChIJkT2dHqw2dkARA-YFF_JD0_k,"{'compound_code': '88WW+H7 Battalgazi, Malatya', 'global_code': '8GCW88WW+H7'}",4.7,ChIJkT2dHqw2dkARA-YFF_JD0_k,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']",12
OPERATIONAL,"Saray, Atatürk Cd. No:48, 44300 Battalgazi/Malatya, Türkiye","{'location': {'lat': 38.348742, 'lng': 38.323106}, 'viewport': {'northeast': {'lat': 38.35016842989273, 'lng': 38.32447752989272}, 'southwest': {'lat': 38.34746877010728, 'lng': 38.32177787010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Aydogan Pharmacy,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107410128966749265666"">A Google User</a>'], 'photo_reference': 'AfLeUgOdhcW22lPMifcvTa4IechaSTZpIh4y7VxePG_CCeWisYwQISEvkZWlWCYRztUpic7fY4W231fxJBCexl15ris7qNgorZeriEZO-S5dzB6dSw-DuoUcVrf51HA8mdtK8AnJnZ5uR8pKazateVZ84lbHL38MAbM2dE2ub1ED6MkIwo1w', 'width': 3024}]",ChIJHX-vcsE2dkARwGLgA9c0DcU,"{'compound_code': '88XF+F6 Battalgazi, Malatya', 'global_code': '8GCW88XF+F6'}",5.0,ChIJHX-vcsE2dkARwGLgA9c0DcU,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",14
