business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos
OPERATIONAL,"İmamağa, Haydar Efendi Cad. No:182, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7693293, 'lng': 38.2769545}, 'viewport': {'northeast': {'lat': 37.77070972989272, 'lng': 38.27830462989272}, 'southwest': {'lat': 37.76801007010727, 'lng': 38.27560497010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Cerrahpasa Pharmacy,ChIJk3_ssoETMxURPMJHKD6COzA,"{'compound_code': 'Q79G+PQ Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ79G+PQ'}",0.0,ChIJk3_ssoETMxURPMJHKD6COzA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,,
OPERATIONAL,"Ulucami, Kale Cd. No:18, 02030 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7592542, 'lng': 38.27324979999999}, 'viewport': {'northeast': {'lat': 37.76062517989272, 'lng': 38.27459002989272}, 'southwest': {'lat': 37.75792552010728, 'lng': 38.27189037010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Doz Pharmacy,ChIJRQwGZHoTMxURnYtyIgZa87I,"{'compound_code': 'Q75F+P7 Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ75F+P7'}",0.0,ChIJRQwGZHoTMxURnYtyIgZa87I,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,,
OPERATIONAL,"Yavuz Selim, 30 Ağustos Cd. No:24, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7653458, 'lng': 38.2720477}, 'viewport': {'northeast': {'lat': 37.76667447989271, 'lng': 38.27334117989272}, 'southwest': {'lat': 37.76397482010727, 'lng': 38.27064152010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Lokman Eczanesi,ChIJVUEwTIITMxURZv5lFTFqS6o,"{'compound_code': 'Q78C+4R Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ78C+4R'}",0.0,ChIJVUEwTIITMxURZv5lFTFqS6o,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,,
OPERATIONAL,"İmamağa, 30 Ağustos Cad. 178/A, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7750957, 'lng': 38.26808949999999}, 'viewport': {'northeast': {'lat': 37.77644287989273, 'lng': 38.26942657989272}, 'southwest': {'lat': 37.77374322010728, 'lng': 38.26672692010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yalcin Pharmacy,ChIJ-7JbInkUMxURmXDMgJh2c3Y,"{'compound_code': 'Q7G9+26 Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ7G9+26'}",0.0,ChIJ-7JbInkUMxURmXDMgJh2c3Y,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,{'open_now': False},
OPERATIONAL,"Turgut Reis, sgk karşısı, Atatürk Bv, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.762765, 'lng': 38.272002}, 'viewport': {'northeast': {'lat': 37.76411482989273, 'lng': 38.27335182989273}, 'southwest': {'lat': 37.76141517010728, 'lng': 38.27065217010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yenigün Eczanesi,ChIJidc3Ys8TMxURAogVePpkFlU,"{'compound_code': 'Q77C+4R Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ77C+4R'}",3.0,ChIJidc3Ys8TMxURAogVePpkFlU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",4,,
OPERATIONAL,"Yavuz Selim, 606. Sk. 5a, 02040 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7668463, 'lng': 38.2707313}, 'viewport': {'northeast': {'lat': 37.76818097989273, 'lng': 38.27204977989273}, 'southwest': {'lat': 37.76548132010728, 'lng': 38.26935012010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Cihan Pharmacy,ChIJwd7U3IMTMxURvINQqufQvV8,"{'compound_code': 'Q78C+P7 Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ78C+P7'}",3.0,ChIJwd7U3IMTMxURvINQqufQvV8,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",1,{'open_now': False},"[{'height': 333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113168511190726422423"">Ahmet KANDIRMAZ</a>'], 'photo_reference': 'AfLeUgO2R_-TcRrs1O1-Re-SMO0zcV9byBg2kVt39XnobDW9K3b1TSSrxciCoJsDHIpqd_yI8tw0lpwgk2HlUIATEjrESYHcOQQ4CA3nGTuBcq0sXwZAhWezxip9vm1j4KunN5Y71SWpMr52HZefJAmyj5UeIWz3YCcIhLIkpk7PdLNxJWxU', 'width': 523}]"
OPERATIONAL,"Yavuz Selim, Hastane Cd. No:18/C, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7647923, 'lng': 38.2724061}, 'viewport': {'northeast': {'lat': 37.76611832989272, 'lng': 38.27366027989272}, 'southwest': {'lat': 37.76341867010728, 'lng': 38.27096062010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Perihan Eczanesi,ChIJkcWvUIITMxUR5AXotjERrwM,"{'compound_code': 'Q77C+WX Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ77C+WX'}",0.0,ChIJkcWvUIITMxUR5AXotjERrwM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,,
OPERATIONAL,"Yavuz Selim, Fevzi Çakmak Cd. No:81, 02040 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7643101, 'lng': 38.272209}, 'viewport': {'northeast': {'lat': 37.76566937989271, 'lng': 38.27360142989272}, 'southwest': {'lat': 37.76296972010727, 'lng': 38.27090177010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Irem Pharmacy,ChIJsfjM7oITMxUR9Zg8Wwckivo,"{'compound_code': 'Q77C+PV Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ77C+PV'}",2.0,ChIJsfjM7oITMxUR9Zg8Wwckivo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",1,,
OPERATIONAL,"Kapcami, Harıkçı Cd Pk:02100, 02100 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7602059, 'lng': 38.2795607}, 'viewport': {'northeast': {'lat': 37.76156957989272, 'lng': 38.28092247989272}, 'southwest': {'lat': 37.75886992010728, 'lng': 38.27822282010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yenigun Pharmacy,ChIJQVFo9nkTMxURXuGd-ZpconU,"{'compound_code': 'Q76H+3R Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ76H+3R'}",5.0,ChIJQVFo9nkTMxURXuGd-ZpconU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",1,{'open_now': False},
OPERATIONAL,"Yenisanayi, 1302. Sok. No:2, 02030 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7574046, 'lng': 38.2742815}, 'viewport': {'northeast': {'lat': 37.75874522989272, 'lng': 38.27563417989272}, 'southwest': {'lat': 37.75604557010728, 'lng': 38.27293452010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Kuzey Pharmacy,ChIJx_SmJXYTMxUR2aePLCMKFMY,"{'compound_code': 'Q74F+XP Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ74F+XP'}",0.0,ChIJx_SmJXYTMxUR2aePLCMKFMY,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0,,
