business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos
OPERATIONAL,"Mevlana Halit, Emek Cad. No:95, 21080 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.92698, 'lng': 40.199767}, 'viewport': {'northeast': {'lat': 37.92831267989272, 'lng': 40.20111042989272}, 'southwest': {'lat': 37.92561302010728, 'lng': 40.19841077010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Huzur Pharmacy,{'open_now': False},ChIJsTJ7T5cfdUAR0FRC4MQSH9U,"{'compound_code': 'W5GX+QW Bağlar, Diyarbakır', 'global_code': '8H92W5GX+QW'}",5.0,ChIJsTJ7T5cfdUAR0FRC4MQSH9U,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",1,
OPERATIONAL,"Yenişehir, Dr. Yusuf Azizoğlu Cad. Medicel Center No:39, 21300 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9118762, 'lng': 40.2301558}, 'viewport': {'northeast': {'lat': 37.91324282989272, 'lng': 40.23150502989272}, 'southwest': {'lat': 37.91054317010727, 'lng': 40.22880537010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Buket Pharmacy,,ChIJPwE9EjcgdUARebEsfgp7dus,"{'compound_code': 'W66J+Q3 Yenişehir, Diyarbakır', 'global_code': '8H92W66J+Q3'}",1.0,ChIJPwE9EjcgdUARebEsfgp7dus,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",1,
OPERATIONAL,"İskenderpaşa, Aziz Mahmutoğulları Cad. Can Apt. No:4, 21300 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.9144099, 'lng': 40.230629}, 'viewport': {'northeast': {'lat': 37.91570947989273, 'lng': 40.23200122989273}, 'southwest': {'lat': 37.91300982010728, 'lng': 40.22930157010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yenicag Pharmacy,,ChIJISlvXzkgdUARb2mkoULfndA,,5.0,ChIJISlvXzkgdUARb2mkoULfndA,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",1,
OPERATIONAL,"Kaynartepe, 3. Sk. No:13, 21090 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9212314, 'lng': 40.21513830000001}, 'viewport': {'northeast': {'lat': 37.92258512989272, 'lng': 40.21648132989272}, 'southwest': {'lat': 37.91988547010728, 'lng': 40.21378167010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Eroglu Pharmacy,,ChIJsxTgQIgfdUARFQhebjA5AYc,"{'compound_code': 'W6C8+G2 Bağlar, Diyarbakır', 'global_code': '8H92W6C8+G2'}",0.0,ChIJsxTgQIgfdUARFQhebjA5AYc,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,
OPERATIONAL,"Muradiye, 186. Sk., 21090 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9171188, 'lng': 40.2120754}, 'viewport': {'northeast': {'lat': 37.91846022989272, 'lng': 40.21342147989272}, 'southwest': {'lat': 37.91576057010728, 'lng': 40.21072182010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Şehir Eczanesi,,ChIJ-67Y8SkgdUAR8Oa2wXnBRik,"{'compound_code': 'W686+VR Bağlar, Diyarbakır', 'global_code': '8H92W686+VR'}",0.0,ChIJ-67Y8SkgdUAR8Oa2wXnBRik,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,
OPERATIONAL,"5 Nisan, Girne Cd. no:80/b, 21090 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9175919, 'lng': 40.2025509}, 'viewport': {'northeast': {'lat': 37.91897442989271, 'lng': 40.20386902989273}, 'southwest': {'lat': 37.91627477010726, 'lng': 40.20116937010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,asya eczanesi,{'open_now': False},ChIJpeEHss8fdUARzzMiK0Psh_E,"{'compound_code': 'W693+22 Bağlar, Diyarbakır', 'global_code': '8H92W693+22'}",5.0,ChIJpeEHss8fdUARzzMiK0Psh_E,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",1,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116646825496121413386"">asya eczanesi</a>'], 'photo_reference': 'AfLeUgNiBo9mWdd637hrwNSfVO8_bwR2cXhvKQF5kbrWCX5EtF3yuLvdO9wQQp2M0TqnjLOXd0l_3kwuUrmIr_fAv2yEIRTbi9P5ZgmvEUjamj8yzcxt8Pc84z1cB3QtmzSmn7XP_Mno_uOk8_cSpB7ojmlpoWjbcTnnaYOAQCncpac41tPF', 'width': 1600}]"
OPERATIONAL,"Şanlıurfa Yolu 5. Km. Yeni Hal Kavşağı Ceylan Karavil Park Alışveriş Merkezi K:Zemin, Ceylan Karavil Park Alışveriş Merkezi Zemin Katında, Yenişehir, Diyarbakır, Türkiye","{'location': {'lat': 37.9144099, 'lng': 40.230629}, 'viewport': {'northeast': {'lat': 37.91570947989273, 'lng': 40.23200122989273}, 'southwest': {'lat': 37.91300982010728, 'lng': 40.22930157010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ceylan Karavil Pharmacy,,ChIJtzWKEzogdUARvJoMiurW8k8,,4.0,ChIJtzWKEzogdUARvJoMiurW8k8,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",4,
OPERATIONAL,"5 Nisan, A101 yanı, Öğretmenler Cd., 21080 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9237656, 'lng': 40.2064202}, 'viewport': {'northeast': {'lat': 37.92511017989273, 'lng': 40.20779527989272}, 'southwest': {'lat': 37.92241052010728, 'lng': 40.20509562010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Dicle eczanesi,{'open_now': False},ChIJNXUFFo8fdUAR-ymyA2ZwUFg,"{'compound_code': 'W6F4+GH Bağlar, Diyarbakır', 'global_code': '8H92W6F4+GH'}",3.3,ChIJNXUFFo8fdUAR-ymyA2ZwUFg,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",7,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109018346091731188866"">Tuncay Yıldızöz</a>'], 'photo_reference': 'AfLeUgOgyzsPVaAkIgm89-OH6RsnMTznOZocbuLAvvQDDfhRf_f91PAmuiKCUfbyMe3JpI5qnx1oYb-li8s5n8Ez2zmFD_vZxJUAuw81Cy-GEY2Xz9Qu5PM5kggkLtyB8XIVKai1HHhhQQM5hLAfLHL9GkUKQqT9r8URoZICZuVyZadl1QqB', 'width': 4032}]"
OPERATIONAL,"Melikahmet, Melik Ahmet Cad./barış Sok. 11/A, 21300 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.911152, 'lng': 40.230903}, 'viewport': {'northeast': {'lat': 37.91250272989272, 'lng': 40.23224767989272}, 'southwest': {'lat': 37.90980307010728, 'lng': 40.22954802010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Aydin Pharmacy,,ChIJkYgp_jYgdUARtYi4TG0jvWE,"{'compound_code': 'W66J+F9 Sur, Diyarbakır', 'global_code': '8H92W66J+F9'}",0.0,ChIJkYgp_jYgdUARtYi4TG0jvWE,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,
OPERATIONAL,"Yunus Emre, Gürsel Cd. No:131, 21090 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9170167, 'lng': 40.206031}, 'viewport': {'northeast': {'lat': 37.91839417989272, 'lng': 40.20738282989272}, 'southwest': {'lat': 37.91569452010727, 'lng': 40.20468317010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ulaş eczanesi diyarbakır,{'open_now': True},ChIJ3ZQT_oAfdUARX3uBLw_nirc,"{'compound_code': 'W684+RC Bağlar, Diyarbakır', 'global_code': '8H92W684+RC'}",3.8,ChIJ3ZQT_oAfdUARX3uBLw_nirc,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",5,
