business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"23 Nisan, Üniversite Blv. No:313/B, 27070 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0411224, 'lng': 37.3225123}, 'viewport': {'northeast': {'lat': 37.04250392989272, 'lng': 37.32378767989272}, 'southwest': {'lat': 37.03980427010727, 'lng': 37.32108802010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Universite Ozden Pharmacy,{'open_now': False},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111786560087163281105"">Fulya Ertu</a>'], 'photo_reference': 'AfLeUgPGfEg75V05MLv9XSO5jzJVK4po3rZnUesJauOZxu_PzMRLyJbPwt1wKBi6uRbrPM34J6mjaShgJz5XD_itBOt8OXyrxDcBlJv_JYW5Wy_3oIMZQOxv1_eqU7osWRGFOh6act6pfsPbjEShd5Tz7oNNeBwD9Qza8ZBQg0Yt-uf5OldQ', 'width': 1152}]",ChIJj1NkSGrgMRURzJ8QBlGVsUM,"{'compound_code': '28RC+FX Şahinbey, Gaziantep', 'global_code': '8G9V28RC+FX'}",4.4,ChIJj1NkSGrgMRURzJ8QBlGVsUM,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",26
OPERATIONAL,"İncili Pınar, Ali Fuat Cebesoy Blv. No:47, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0724906, 'lng': 37.3666929}, 'viewport': {'northeast': {'lat': 37.07401252989272, 'lng': 37.36807512989272}, 'southwest': {'lat': 37.07131287010728, 'lng': 37.36537547010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Perihan Pharmacy,{'open_now': False},,ChIJAXT_sUThMRUR8qOMuQcmfqk,"{'compound_code': '39C8+XM Şehitkamil, Gaziantep', 'global_code': '8G9V39C8+XM'}",3.8,ChIJAXT_sUThMRUR8qOMuQcmfqk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",9
OPERATIONAL,"İncili Pınar, 36057. Sk. No:30, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0668801, 'lng': 37.3754747}, 'viewport': {'northeast': {'lat': 37.06820342989273, 'lng': 37.37679357989273}, 'southwest': {'lat': 37.06550377010728, 'lng': 37.37409392010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Duruklan Eczanesi,,,ChIJpWvS8U7hMRURHLSI8LE9tIk,"{'compound_code': '398G+Q5 Şehitkamil, Gaziantep', 'global_code': '8G9V398G+Q5'}",0.0,ChIJpWvS8U7hMRURHLSI8LE9tIk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0
OPERATIONAL,"İncili Pınar, Prof. Muammer Aksoy Blv. No:58, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0683671, 'lng': 37.3699238}, 'viewport': {'northeast': {'lat': 37.06987187989272, 'lng': 37.37125872989272}, 'southwest': {'lat': 37.06717222010727, 'lng': 37.36855907010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Aysegul Pharmacy,,,ChIJFeTRtkXhMRURwBESO46DpOs,"{'compound_code': '3999+8X Şehitkamil, Gaziantep', 'global_code': '8G9V3999+8X'}",3.0,ChIJFeTRtkXhMRURwBESO46DpOs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",2
OPERATIONAL,"İncili Pınar, Ali Fuat Cebesoy Blv. NO:5, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0717064, 'lng': 37.3785384}, 'viewport': {'northeast': {'lat': 37.07314572989272, 'lng': 37.37991687989273}, 'southwest': {'lat': 37.07044607010727, 'lng': 37.37721722010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Gaziantep Eczacı Odası,,,ChIJ_Xb_xlPhMRURj7Rumiwzp1A,"{'compound_code': '39CH+MC Şehitkamil, Gaziantep', 'global_code': '8G9V39CH+MC'}",0.0,ChIJ_Xb_xlPhMRURj7Rumiwzp1A,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0
OPERATIONAL,"Budak, Ali Fuat Cebesoy Blv. 68-76, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0739857, 'lng': 37.3621475}, 'viewport': {'northeast': {'lat': 37.07526397989272, 'lng': 37.36347062989272}, 'southwest': {'lat': 37.07256432010728, 'lng': 37.36077097010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Nisa Koçak Eczanesi,,,ChIJifezEUXhMRURUfv5VxVQ6_0,"{'compound_code': '39F6+HV Şehitkamil, Gaziantep', 'global_code': '8G9V39F6+HV'}",3.7,ChIJifezEUXhMRURUfv5VxVQ6_0,"['drugstore', 'pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",3
OPERATIONAL,"Mücahitler, 52009. Cd., 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0758825, 'lng': 37.3697701}, 'viewport': {'northeast': {'lat': 37.07721632989271, 'lng': 37.37111642989272}, 'southwest': {'lat': 37.07451667010727, 'lng': 37.36841677010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Kaleoglu Eczanesi,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117443600293155227614"">Hanano Markets</a>'], 'photo_reference': 'AfLeUgNn8dyDztj0hRNUcx-1v8UVj-RK-lO3-94T5_dzxEGazTyIAycZ3jxDOx_MMW5xpMh4neUbZGpOAwILEbR20TsUV22B2GAvZl1Uzb-P7kvPJK9iuXcF9fIahoeLNrbNBizes25FZ421lbhG9AiJcDJGCZKU5aQOkQX-YV5dZqFsR5wO', 'width': 1920}]",ChIJy4ReyUDhMRURP6no5OoCIjE,"{'compound_code': '39G9+9W Şehitkamil, Gaziantep', 'global_code': '8G9V39G9+9W'}",0.0,ChIJy4ReyUDhMRURP6no5OoCIjE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0
OPERATIONAL,"Mücahitler, Gazi Muhtar Paşa Blv. 49-a, 27090 Şehitkamil/Gaziantep, Türkiye","{'location': {'lat': 37.0821321, 'lng': 37.3873193}, 'viewport': {'northeast': {'lat': 37.08350437989272, 'lng': 37.38867077989272}, 'southwest': {'lat': 37.08080472010728, 'lng': 37.38597112010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Kaleoglu Pharmacy,{'open_now': False},,ChIJ-TOseVzhMRURmZmP2TGATDs,"{'compound_code': '39JP+VW Şehitkamil, Gaziantep', 'global_code': '8G9V39JP+VW'}",3.3,ChIJ-TOseVzhMRURmZmP2TGATDs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",3
OPERATIONAL,"Girne Hasip Dürü Cad. No:56, 27080 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0701832, 'lng': 37.400296}, 'viewport': {'northeast': {'lat': 37.07154552989272, 'lng': 37.40164597989272}, 'southwest': {'lat': 37.06884587010727, 'lng': 37.39894632010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Altinay Saglik Pharmacy,{'open_now': False},,ChIJvRpBrMzmMRURi2mA9AIcKdo,,0.0,ChIJvRpBrMzmMRURi2mA9AIcKdo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",0
OPERATIONAL,"Alleben, 27090 Şahinbey/Gaziantep, Türkiye","{'location': {'lat': 37.0631773, 'lng': 37.3679456}, 'viewport': {'northeast': {'lat': 37.06460167989272, 'lng': 37.36926837989272}, 'southwest': {'lat': 37.06190202010728, 'lng': 37.36656872010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Dilay Pharmacy,{'open_now': False},,ChIJ2RtOoTjhMRURvWfnmAvVL24,"{'compound_code': '3979+75 Şahinbey, Gaziantep', 'global_code': '8G9V3979+75'}",4.4,ChIJ2RtOoTjhMRURvWfnmAvVL24,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",24
