business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos
OPERATIONAL,"Altınçay, Cumhuriyet Cd. No:137, 31040 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2097656, 'lng': 36.1448764}, 'viewport': {'northeast': {'lat': 36.21117142989272, 'lng': 36.14625392989272}, 'southwest': {'lat': 36.20847177010727, 'lng': 36.14355427010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmasi,ChIJDb5pSE3CJRURb72f_rSkH9U,"{'compound_code': '645V+WX Antakya, Hatay', 'global_code': '8G8R645V+WX'}",0.0,ChIJDb5pSE3CJRURb72f_rSkH9U,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Cumhuriyet, mahmut koşucu, Süleymanşah Cd. No:22 D:apt 13a, 31040 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2059765, 'lng': 36.1509501}, 'viewport': {'northeast': {'lat': 36.20734562989273, 'lng': 36.15226457989272}, 'southwest': {'lat': 36.20464597010729, 'lng': 36.14956492010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Selçuk Medikal Ve İtriyat Deposu,ChIJfUTJRLXDJRURgKTWCpKy1pI,"{'compound_code': '6542+99 Antakya, Hatay', 'global_code': '8G8R6542+99'}",0.0,ChIJfUTJRLXDJRURgKTWCpKy1pI,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,{'open_now': False},
OPERATIONAL,"Akevler, 16. Sk. No:2, 31030 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2145395, 'lng': 36.15087159999999}, 'viewport': {'northeast': {'lat': 36.21588537989272, 'lng': 36.15222377989272}, 'southwest': {'lat': 36.21318572010728, 'lng': 36.14952412010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Avon Farmasi,ChIJrxjq40jCJRURNgMaswGZAQA,"{'compound_code': '6572+R8 Antakya, Hatay', 'global_code': '8G8R6572+R8'}",0.0,ChIJrxjq40jCJRURNgMaswGZAQA,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Küçükdalyan, Levent Sok., 31120 Antakya/Hatay, Türkiye","{'location': {'lat': 36.213484, 'lng': 36.1777685}, 'viewport': {'northeast': {'lat': 36.21483177989272, 'lng': 36.17912092989273}, 'southwest': {'lat': 36.21213212010728, 'lng': 36.17642127010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Belgin Pharmacy,ChIJoSnLzcDDJRUR2-s_SO0DMKM,,0.0,ChIJoSnLzcDDJRUR2-s_SO0DMKM,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,{'open_now': False},
OPERATIONAL,"Gazi, Adnan Menderes Cad. No:130, 31040 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2032507, 'lng': 36.145043}, 'viewport': {'northeast': {'lat': 36.20447327989272, 'lng': 36.14643597989272}, 'southwest': {'lat': 36.20177362010727, 'lng': 36.14373632010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Esentepe Pharmacy,ChIJSQIqWrHDJRURZ6HKoaVsUNo,"{'compound_code': '643W+72 Antakya, Hatay', 'global_code': '8G8R643W+72'}",4.0,ChIJSQIqWrHDJRURZ6HKoaVsUNo,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",13,{'open_now': False},
OPERATIONAL,"Cebrail, Cumhuriyet Cd. No:100, 31030 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2060959, 'lng': 36.1534039}, 'viewport': {'northeast': {'lat': 36.20741012989271, 'lng': 36.15471702989272}, 'southwest': {'lat': 36.20471047010727, 'lng': 36.15201737010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Kudret Pharmacy,ChIJV4bVS7XDJRURIMqVUoCdwVU,"{'compound_code': '6543+C9 Antakya, Hatay', 'global_code': '8G8R6543+C9'}",4.3,ChIJV4bVS7XDJRURIMqVUoCdwVU,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",49,{'open_now': False},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116958787958184765372"">Umut Atar</a>'], 'photo_reference': 'AfLeUgM5UvItyCA4OpHmmHoWxp2K38p7tQq5aQU9Mtvyn3n7C-3_f6w22TdcNVN_-0tZjc810MEpU1Se0HtulmvM_atdyUUS-eLZSUcNdt9gRd6ENpSyisrthU3bf8Ne74daB7d3RwCmC0CUsJ2QESHd7dtakLhFb37HXlftlgeLdgpGffNU', 'width': 4000}]"
OPERATIONAL,"Elektrik, 31160 Defne/Hatay, Türkiye","{'location': {'lat': 36.196556, 'lng': 36.149828}, 'viewport': {'northeast': {'lat': 36.19792652989273, 'lng': 36.15120787989272}, 'southwest': {'lat': 36.19522687010728, 'lng': 36.14850822010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Konak Pharmacy,ChIJw3CQxLnDJRURzMr537P3WKw,"{'compound_code': '54WX+JW Defne, Hatay', 'global_code': '8G8R54WX+JW'}",0.0,ChIJw3CQxLnDJRURzMr537P3WKw,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Kuzeytepe Mah, Atatürk Cd. No. 68/B, 31027 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2558137, 'lng': 36.1683132}, 'viewport': {'northeast': {'lat': 36.25711822989272, 'lng': 36.16963167989272}, 'southwest': {'lat': 36.25441857010728, 'lng': 36.16693202010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Günay Pharmacy,ChIJ07vo5UnDJRURUJIBHsIbyjY,"{'compound_code': '7549+88 Antakya, Hatay', 'global_code': '8G8R7549+88'}",3.4,ChIJ07vo5UnDJRURUJIBHsIbyjY,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",5,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101537445599044081358"">Burak Gunay</a>'], 'photo_reference': 'AfLeUgPrDI6oyGsEyBeLvBcV7Wo6t_dzZTf4Dx0SwFXYCHMxxjyTf_aXDkH92QWtEgUKNkfJSjTifJUpE-CEtUf7JxytiLAxI6SwdwKvcVvp0S8a7dZ9a5VbZbodmPBekwUQr6pUbtvlp0BHXtbYMlaHIEuctFjrAhkzKApIqMzF4l_5APgI', 'width': 1600}]"
OPERATIONAL,"Ulucamii, 31060 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2030468, 'lng': 36.1617442}, 'viewport': {'northeast': {'lat': 36.20440797989271, 'lng': 36.16304077989273}, 'southwest': {'lat': 36.20170832010727, 'lng': 36.16034112010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Defne,ChIJ49Opk73DJRURPynOOgISZFg,"{'compound_code': '6536+6M Antakya, Hatay', 'global_code': '8G8R6536+6M'}",0.0,ChIJ49Opk73DJRURPynOOgISZFg,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Saraykent, 11. Sk. No:22, 31030 Antakya/Hatay, Türkiye","{'location': {'lat': 36.2218317, 'lng': 36.14916050000001}, 'viewport': {'northeast': {'lat': 36.22318152989272, 'lng': 36.15051032989273}, 'southwest': {'lat': 36.22048187010728, 'lng': 36.14781067010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Melis Medikal,ChIJjYVkqkbCJRURPfmvKEskECM,"{'compound_code': '64CX+PM Antakya, Hatay', 'global_code': '8G8R64CX+PM'}",0.0,ChIJjYVkqkbCJRURPfmvKEskECM,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,{'open_now': False},
