business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,types,user_ratings_total,opening_hours,photos
OPERATIONAL,"M. Fevzi Çakmak, 7517. Sk. No:36, 80020 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0807016, 'lng': 36.2621085}, 'viewport': {'northeast': {'lat': 37.08198942989272, 'lng': 36.26349442989272}, 'southwest': {'lat': 37.07928977010727, 'lng': 36.26079477010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Sağlı Eczanesi,ChIJwSc87ycgLxURkYjhYHHyhN0,"{'compound_code': '37J6+7R Osmaniye Merkez, Osmaniye', 'global_code': '8G9R37J6+7R'}",0.0,ChIJwSc87ycgLxURkYjhYHHyhN0,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Kazım Karabekir, 6502. Sk. No:19, 80020 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0829385, 'lng': 36.2665941}, 'viewport': {'northeast': {'lat': 37.08426737989272, 'lng': 36.26788522989272}, 'southwest': {'lat': 37.08156772010727, 'lng': 36.26518557010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Muderrisoglu Pharmacy,ChIJLxTQYokfLxUR5aoSBLvpLyk,"{'compound_code': '37M8+5J Osmaniye Merkez, Osmaniye', 'global_code': '8G9R37M8+5J'}",4.6,ChIJLxTQYokfLxUR5aoSBLvpLyk,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",8,{'open_now': False},
OPERATIONAL,"Alibeyli, Palalı Süleyman Cd. No:7, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0735568, 'lng': 36.2487123}, 'viewport': {'northeast': {'lat': 37.07489022989272, 'lng': 36.25007517989273}, 'southwest': {'lat': 37.07219057010727, 'lng': 36.24737552010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Lokman Hekim Eczanesi,ChIJO4PC5MwhLxURA6__AEmZU2w,"{'compound_code': '36FX+CF Osmaniye Merkez, Osmaniye', 'global_code': '8G9R36FX+CF'}",5.0,ChIJO4PC5MwhLxURA6__AEmZU2w,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",2,{'open_now': False},
OPERATIONAL,"Adnan Menderes, 19538. Sk. No:6, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0636326, 'lng': 36.2359558}, 'viewport': {'northeast': {'lat': 37.06496442989273, 'lng': 36.23727367989272}, 'southwest': {'lat': 37.06226477010728, 'lng': 36.23457402010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Yasin Eczanesi,ChIJt5g71b0hLxURwrKvU5_-g58,"{'compound_code': '367P+F9 Osmaniye Merkez, Osmaniye', 'global_code': '8G9R367P+F9'}",4.0,ChIJt5g71b0hLxURwrKvU5_-g58,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",11,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106324479390287344783"">mihrican tekeci</a>'], 'photo_reference': 'AfLeUgMINLMl_3-VtQlFB5CiRAGybWMoTmqLHF7-Rt9YeM0WCcf6Yd51nxTOsc0gvWBAti9H-dCvdmgsVQljSapndaClijjT3HHEBXS_9cc2ln8sj3nprOtWkZaFk7KXYQ4jETkb--cKBsaplhmMF9CuNjvVLUks656KIdZilcSBIRwM6ldh', 'width': 3024}]"
OPERATIONAL,"Karaboyunlu, Karaboyunlu 5556. Sokak, 1 nolu sağlık ocağı karşısı No:2A, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0587417, 'lng': 36.2563962}, 'viewport': {'northeast': {'lat': 37.06013942989271, 'lng': 36.25775632989273}, 'southwest': {'lat': 37.05743977010727, 'lng': 36.25505667010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Derman Eczanesi,ChIJa8pY9tshLxURWKW3yXAcgOM,"{'compound_code': '3754+FH Osmaniye Merkez, Osmaniye', 'global_code': '8G9R3754+FH'}",4.9,ChIJa8pY9tshLxURWKW3yXAcgOM,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",8,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118338135064882816333"">A Google User</a>'], 'photo_reference': 'AfLeUgPIDJ-bBfYAKtu5gr0JkawMClrnrWG74vybvqAbehL0WgGvAoSMoBLcZolXQC2XNOHAySNlSeF-ViR8carYzpa8jB1mOps2iVdoVEatmVSGYUPA23lnIfVVgmkigF3CyJqJMfU8WTurU0COFgNHlML1lCbyrTrOn6xhSVQ-KEnm6yFQ', 'width': 1920}]"
OPERATIONAL,"Alibeyli, Şht. Mehmet Tatlı Sk. No:10, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0744774, 'lng': 36.247913}, 'viewport': {'northeast': {'lat': 37.07582382989272, 'lng': 36.24926747989272}, 'southwest': {'lat': 37.07312417010728, 'lng': 36.24656782010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Diler Halk Eczanesi,ChIJ2zCUlcwhLxURFkTH_S4Omng,"{'compound_code': '36FX+Q5 Osmaniye Merkez, Osmaniye', 'global_code': '8G9R36FX+Q5'}",0.0,ChIJ2zCUlcwhLxURFkTH_S4Omng,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,{'open_now': False},
OPERATIONAL,"Tufanpaşa, 7590. Sk. No:1, 80020 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.08795, 'lng': 36.2641734}, 'viewport': {'northeast': {'lat': 37.08930257989272, 'lng': 36.26552927989272}, 'southwest': {'lat': 37.08660292010727, 'lng': 36.26282962010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Güzin Eczanesi,ChIJ_Yyh9vDFLhURb4z3zGLaS0g,"{'compound_code': '37Q7+5M Osmaniye Merkez, Osmaniye', 'global_code': '8G9R37Q7+5M'}",0.0,ChIJ_Yyh9vDFLhURb4z3zGLaS0g,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,,
OPERATIONAL,"Adnan Menderes, 19538. Sk. No:4, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0634806, 'lng': 36.2361386}, 'viewport': {'northeast': {'lat': 37.06480287989272, 'lng': 36.23743972989272}, 'southwest': {'lat': 37.06210322010727, 'lng': 36.23474007010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Bedirhan eczanesi,ChIJ-0ZY1b0hLxURZBeaHm8N2cI,"{'compound_code': '367P+9F Osmaniye Merkez, Osmaniye', 'global_code': '8G9R367P+9F'}",4.5,ChIJ-0ZY1b0hLxURZBeaHm8N2cI,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",10,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105392164793011991554"">Serdar kaygısız</a>'], 'photo_reference': 'AfLeUgNUqs1nxtgv944LRHZv_baa-TdmXQdldev_Ox3IkE1olhWeQmYVJe3GVhIxBIx-9Bk99MHzAoWWepV0KIRJ1qg_ACxijz9eXQrnMIvhbaKvkoLD39x_FDpGx3Xx--wwxxiTQ4nm4HmIukjfg4bruD6zh58Pw4HMBmejA6s-b7tgv_C9', 'width': 1080}]"
OPERATIONAL,"Alibeyli, Şht. Mehmet Tatlı Sk., 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0755565, 'lng': 36.2478448}, 'viewport': {'northeast': {'lat': 37.07690632989272, 'lng': 36.24919462989273}, 'southwest': {'lat': 37.07420667010728, 'lng': 36.24649497010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Fakıuşag Pharmacy,ChIJ_cdOxswhLxURfTbTBXxlbso,"{'compound_code': '36GX+64 Osmaniye Merkez, Osmaniye', 'global_code': '8G9R36GX+64'}",0.0,ChIJ_cdOxswhLxURfTbTBXxlbso,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",0,{'open_now': False},
OPERATIONAL,"Alibeyli, Dr. Ahmet Alkan Cad./şehit Mehmet Tatlı Sok. No:2 D:6, 80010 Osmaniye Merkez/Osmaniye, Türkiye","{'location': {'lat': 37.0749026, 'lng': 36.2483897}, 'viewport': {'northeast': {'lat': 37.07626512989272, 'lng': 36.24976707989273}, 'southwest': {'lat': 37.07356547010728, 'lng': 36.24706742010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ozturk Pharmacy,ChIJN1DkotUhLxUR0PiRiKKuTKk,"{'compound_code': '36FX+X9 Osmaniye Merkez, Osmaniye', 'global_code': '8G9R36FX+X9'}",4.3,ChIJN1DkotUhLxUR0PiRiKKuTKk,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']",7,{'open_now': False},
