business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Bahçelievler, Cengiz Topel Cd. 8/b, 63100 Haliliye/Şanlıurfa, Türkiye","{'location': {'lat': 37.16439820000001, 'lng': 38.788883}, 'viewport': {'northeast': {'lat': 37.16573062989273, 'lng': 38.79036712989272}, 'southwest': {'lat': 37.16303097010728, 'lng': 38.78766747010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Levent Eczanesi-pharmacy-apotheke,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101985359211851782969"">A Google User</a>'], 'photo_reference': 'AfLeUgP0shByPNh_QHt00p2esD2TZzN6y0_XESETktefYHpF3Q43QZVbyyHsf83-iXZQqkYju7tVEeX0XVVMerN2qkDU0Hx9pRlq0sq234Cu1oaWy1_hTE28ymem__Nm5ylvmJUnkfauzdkNhE7iwTVLNQ9hED9VAcvzaLBk8g_pb-skSB96', 'width': 3000}]",ChIJf-zM4BlwNBUROJo853pn9os,"{'compound_code': '5Q7Q+QH Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q7Q+QH'}",3.5,ChIJf-zM4BlwNBUROJo853pn9os,"['drugstore', 'pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",4
OPERATIONAL,"Kadıoğlu, 63200 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.153868, 'lng': 38.7861961}, 'viewport': {'northeast': {'lat': 37.15523362989271, 'lng': 38.78751807989272}, 'southwest': {'lat': 37.15253397010727, 'lng': 38.78481842010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Songul Pharmacy,{'open_now': False},,ChIJezADhJhxNBUR6c40WzKEa4c,"{'compound_code': '5Q3P+GF Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q3P+GF'}",3.0,ChIJezADhJhxNBUR6c40WzKEa4c,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",2
OPERATIONAL,"Şair Nabi, A, 192. Sk. No:35, 63040 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1630196, 'lng': 38.7998266}, 'viewport': {'northeast': {'lat': 37.16437072989272, 'lng': 38.80108777989273}, 'southwest': {'lat': 37.16167107010728, 'lng': 38.79838812010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,YILMAZ ECZANESİ,{'open_now': False},,ChIJFZsVB8pxNBURpA-rm1TKfzA,"{'compound_code': '5Q7X+6W Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q7X+6W'}",4.2,ChIJFZsVB8pxNBURpA-rm1TKfzA,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",5
OPERATIONAL,"Yenişehir, 465. Sok. 6/C, 63300 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1689347, 'lng': 38.8181139}, 'viewport': {'northeast': {'lat': 37.17027597989272, 'lng': 38.81946432989272}, 'southwest': {'lat': 37.16757632010727, 'lng': 38.81676467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Asli Pharmacy,{'open_now': False},,ChIJ44lzhihwNBUReVkjat_Psu8,"{'compound_code': '5R99+H6 Karaköprü, Şanlıurfa', 'global_code': '8G9W5R99+H6'}",4.5,ChIJ44lzhihwNBUReVkjat_Psu8,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",4
OPERATIONAL,"Cengiz Topel, İpekyol Blv. Yanyolu 59 C, 63100 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1650615, 'lng': 38.7883953}, 'viewport': {'northeast': {'lat': 37.16644477989272, 'lng': 38.78972922989272}, 'southwest': {'lat': 37.16374512010728, 'lng': 38.78702957010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Hekimoğlu Eczanesi,,,ChIJ0T2HMa5xNBUR5waoygzKxO0,"{'compound_code': '5Q8Q+29 Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q8Q+29'}",0.0,ChIJ0T2HMa5xNBUR5waoygzKxO0,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",0
OPERATIONAL,"Mimar Sinan, Atatürk Blv 44 C, 63100 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.161767, 'lng': 38.7926842}, 'viewport': {'northeast': {'lat': 37.16308532989272, 'lng': 38.79413707989271}, 'southwest': {'lat': 37.16038567010728, 'lng': 38.79143742010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,İrfan Eczanesi,,,ChIJhVqWk7BxNBURRgo7CCf6ZAI,"{'compound_code': '5Q6V+P3 Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q6V+P3'}",0.0,ChIJhVqWk7BxNBURRgo7CCf6ZAI,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",0
OPERATIONAL,"Kamberiye, Cumhuriyet Cd. No:119, 63040 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.1598145, 'lng': 38.7973732}, 'viewport': {'northeast': {'lat': 37.16119032989272, 'lng': 38.79871602989272}, 'southwest': {'lat': 37.15849067010728, 'lng': 38.79601637010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ersavas Pharmacy,{'open_now': False},,ChIJW818mbdxNBURwKXNe2WA508,"{'compound_code': '5Q5W+WX Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q5W+WX'}",4.0,ChIJW818mbdxNBURwKXNe2WA508,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",4
OPERATIONAL,"Şair Şevket, 123. Sk. 1 A, 63100 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.165584, 'lng': 38.79439199999999}, 'viewport': {'northeast': {'lat': 37.16695612989272, 'lng': 38.79575112989272}, 'southwest': {'lat': 37.16425647010728, 'lng': 38.79305147010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,صيدلية لقمان,,,ChIJ6V1zCrRxNBURycUC5Rs3hHE,"{'compound_code': '5Q8V+6Q Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q8V+6Q'}",4.4,ChIJ6V1zCrRxNBURycUC5Rs3hHE,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",8
OPERATIONAL,"Bamyasuyu mahallesi Çanakkale 18 Mart caddesi 3:57, D:C blok, 63000 Haliliye/Şanlıurfa, Türkiye","{'location': {'lat': 37.1604138, 'lng': 38.7954363}, 'viewport': {'northeast': {'lat': 37.16176322989271, 'lng': 38.79677532989272}, 'southwest': {'lat': 37.15906357010727, 'lng': 38.79407567010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Şanlıurfa Eczanesi,,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112600953613285267953"">A Google User</a>'], 'photo_reference': 'AfLeUgOv30lFsWhL0n56jbZCO43BCwlX2DIXdPxvf_6lt6JoAnCWRwcdzUJqmfky4_PuGZ2f0ip7ZuuIflVVcCUiqPS_PQBkMW5-lI1zDs-LStEHZemqDkcIA1vthI6qCLMdkAMibO7uakspqX5nyEtBY91rcmWJk298qX9XcmeYLSVzMb7U', 'width': 3840}]",ChIJ7TznNIpxNBURcRbCz_5UHiw,"{'compound_code': '5Q6W+55 Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q6W+55'}",0.0,ChIJ7TznNIpxNBURcRbCz_5UHiw,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",0
OPERATIONAL,"Atatürk, Topçular Cd., 63100 Şanlıurfa Merkez/Şanlıurfa, Türkiye","{'location': {'lat': 37.157905, 'lng': 38.788848}, 'viewport': {'northeast': {'lat': 37.15925667989272, 'lng': 38.79018887989272}, 'southwest': {'lat': 37.15655702010728, 'lng': 38.78748922010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Aygun Pharmacy,,,ChIJvWvXq6RxNBURMN_cvPrPJnw,"{'compound_code': '5Q5Q+5G Karaköprü, Şanlıurfa', 'global_code': '8G9W5Q5Q+5G'}",0.0,ChIJvWvXq6RxNBURMN_cvPrPJnw,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']",0
